Province,District,Name,Party,Year,First,Last
Abra ,Lone ,Rudolfo A. Bernardez ,LDP  ,8,Rudolfo,Bernardez
Agusan del Norte ,1st ,Charito B. Plaza ,Liberal ,8,Charito,Plaza
Agusan del Norte ,2nd ,"Edelmiro A. Amante, Sr. ",Nacionalista ,8,Edelmiro,Amante
Agusan del Sur ,Lone ,Democrito O. Plaza ,KBL ,8,Democrito,Plaza
Aklan ,Lone ,Ramon B. Legaspi ,LDP ,8,Ramon,Legaspi
Albay ,1st ,Edcel C. Lagman ,LDP ,8,Edcel,Lagman
Albay ,2nd ,Carlos R. Imperial ,Independent ,8,Carlos,Imperial
Albay ,3rd ,Efren R. Sarte ,Liberal ,8,Efren,Sarte
Antique ,Lone ,Exequiel B. Javier ,LDP ,8,Exequiel,Javier
Aurora ,Lone ,Benedicto G. Miran ,LDP ,8,Benedicto,Miran
Bacolod City ,Lone ,Romeo G. Guanzon ,Independent ,8,Romeo,Guanzon
Basilan ,Lone ,Alvin G. Dans ,LDP ,8,Alvin,Dans
Bataan ,1st ,Felicito C. Payumo ,Liberal ,8,Felicito,Payumo
Bataan ,2nd ,Enrique T. Garcia ,LDP ,8,Enrique,Garcia
Batanes ,Lone ,Florencio B. Abad[1] ,Liberal ,8,Florencio,Abad
Batangas ,1st ,Conrado V. Apacible ,Liberal ,8,Conrado,Apacible
Batangas ,2nd ,Hernando B. Perez ,LDP ,8,Hernando,Perez
Batangas ,3rd ,Milagros Laurel-Trinidad ,Nacionalista Party (earlier UNIDO) ,8,Milagros,Laurel-Trinidad
Batangas ,4th ,Jose E. Calingasan ,LDP ,8,Jose,Calingasan
Benguet ,1st ,Honorato Y. Aquino ,LDP ,8,Honorato,Aquino
Benguet ,2nd ,Samuel M. Dangwa ,LDP ,8,Samuel,Dangwa
Bohol ,1st ,Venice Borja-Agana , ,8,Venice,Borja-Agana
Bohol ,2nd ,David B. Tirol , ,8,David,Tirol
Bohol ,3rd ,Isidro C. Zarraga , ,8,Isidro,Zarraga
Bukidnon ,1st ,Socorro O. Acosta , ,8,Socorro,Acosta
Bukidnon ,2nd ,Violeta T. Labaria , ,8,Violeta,Labaria
Bukidnon ,3rd ,"Jose Ma. R. Zubiri, Jr. ",KBL ,8,Jose,Zubiri
Bulacan ,1st ,"Francisco B. Aniag, Jr. ", ,8,Francisco,Aniag
Bulacan ,2nd ,"Vicente C. Rivera, Jr. ", ,8,Vicente,Rivera
Bulacan ,3rd ,Jose L. Cabochan , ,8,Jose,Cabochan
Bulacan ,4th ,Rogaciano M. Mercado[2] ,LDP ,8,Rogaciano,Mercado
Cagayan ,1st ,Domingo A. Tuzon , ,8,Domingo,Tuzon
Cagayan ,2nd ,Leoncio M. Puzon ,KBL ,8,Leoncio,Puzon
Cagayan ,3rd ,Tito M. Dupaya , ,8,Tito,Dupaya
Cagayan de Oro City ,Lone ,Benedicta B. Roa , ,8,Benedicta,Roa
Caloocan City ,1st ,Virgilio P. Robles , ,8,Virgilio,Robles
Caloocan City ,"",Romeo L. Santos[3] , ,8,Romeo,Santos
