Province,District,Name,Party,,Year,First,Last
Abra ,Lone ,Jeremias Z. Zapata ,Lakas-NUCD ,1,9,Jeremias,Zapata
Agusan del Norte ,1st ,Charito B. Plaza , ,2,9,Charito,Plaza
Agusan del Norte ,2nd ,"Edelmiro A. Amante, Sr. ",Nacionalista ,2,9,Edelmiro,Amante
Agusan del Sur ,Lone ,"Ceferino S. Paredes, Jr. ",NPC ,1,9,Ceferino,Paredes
Aklan ,Lone ,Allen S. Quimpo ,Lakas-NUCD ,1,9,Allen,Quimpo
Albay ,1st ,Edcel C. Lagman ,LDP ,2,9,Edcel,Lagman
Albay ,2nd ,Carlos R. Imperial ,NPC ,1,9,Carlos,Imperial
Albay ,3rd ,Al Francis C. Bichara ,Nacionalista ,1,9,Al,Bichara
Antique ,Lone ,Exequiel B. Javier ,Lakas-NUCD ,2,9,Exequiel,Javier
Aurora ,Lone ,Benedicto G. Miran ,LDP ,2,9,Benedicto,Miran
Bacolod City ,Lone ,Romeo G. Guanzon ,Lakas-NUCD ,2,9,Romeo,Guanzon
Basilan ,Lone ,Elnorita P. Tugung , ,1,9,Elnorita,Tugung
Bataan ,1st ,Felicito C. Payumo ,Liberal ,2,9,Felicito,Payumo
Bataan ,2nd ,Dominador N. Venegas , ,1,9,Dominador,Venegas
Batanes ,Lone ,Enrique C. Lizardo ,LDP ,1,9,Enrique,Lizardo
Batangas ,1st ,Eduardo R. Ermita ,Lakas-NUCD ,1,9,Eduardo,Ermita
Batangas ,2nd ,Hernando B. Perez ,Lakas-NUCD ,2,9,Hernando,Perez
Batangas ,3rd ,Milagros Laurel-Trinidad ,Nacionalista ,2,9,Milagros,Laurel-Trinidad
Batangas ,4th ,Ralph G. Recto ,LDP ,1,9,Ralph,Recto
Benguet ,1st ,Bernardo M. Vergara ,NPC ,1,9,Bernardo,Vergara
Benguet ,2nd ,Samuel M. Dangwa ,LDP ,2,9,Samuel,Dangwa
Bohol ,1st ,Venice Borja-Agana ,Lakas NUCD ,2,9,Venice,Borja-Agana
Bohol ,2nd ,Erico B. Aumentado ,Lakas NUCD ,1,9,Erico,Aumentado
Bohol ,3rd ,Isidro C. Zarraga ,Lakas NUCD ,2,9,Isidro,Zarraga
Bukidnon ,1st ,Socorro O. Acosta ,Liberal ,2,9,Socorro,Acosta
Bukidnon ,2nd ,Reginaldo N. Tilanduca ,NPC ,1,9,Reginaldo,Tilanduca
Bukidnon ,3rd ,"Jose Ma. R. Zubiri, Jr. ",NPC ,2,9,Jose,Zubiri
Bulacan ,1st ,Teodulo C. Natividad ,LDP ,1,9,Teodulo,Natividad
Bulacan ,2nd ,Pedro M. Pancho ,Lakas NUCD ,1,9,Pedro,Pancho
Bulacan ,3rd ,Ricardo C. Silverio ,Lakas NUCD ,1,9,Ricardo,Silverio
Bulacan ,4th ,Angelito M. Sarmiento ,Lakas NUCD ,1,9,Angelito,Sarmiento
Cagayan ,1st ,Juan Ponce Enrile ,Nacionalista ,1,9,Juan,Enrile
Cagayan ,2nd ,Edgar R. Lara ,NPC ,1,9,Edgar,Lara
Cagayan ,3rd ,Francisco K. Mamba ,Lakas-NUCD ,1,9,Francisco,Mamba
Cagayan de Oro City ,Lone ,Erasmo B. Damasing ,Lakas NUCD ,1,9,Erasmo,Damasing
Caloocan City ,1st ,Aurora A. Henson , ,1,9,Aurora,Henson
Caloocan City ,2nd ,Luis A. Asistio ,NPC ,1,9,Luis,Asistio
Camarines Norte ,Lone ,Emmanuel B. Pimentel ,LDP ,1,9,Emmanuel,Pimentel
Camarines Sur ,1st ,Rolando R. Andaya ,Lakas NUCD ,2,9,Rolando,Andaya
Camarines Sur ,2nd ,Celso O. Baguio , ,1,9,Celso,Baguio
Camarines Sur ,3rd ,Arnulfo P. Fuentebella ,NPC ,1,9,Arnulfo,Fuentebella
Camarines Sur ,4th ,Ciriaco R. Alfelor ,Lakas NUCD ,2,9,Ciriaco,Alfelor
Camiguin ,Lone ,Pedro P. Romualdo ,Lakas NUCD ,2,9,Pedro,Romualdo
Capiz ,1st ,"Gerardo A. Roxas, Jr.1 ",Liberal ,2,9,Gerardo,Jr.
Capiz ,"",Manuel A. Roxas II2 ,Liberal ,1,9,Manuel,II
Capiz ,2nd ,"Vicente J. Andaya, Jr. ",Lakas NUCD ,1,9,Vicente,Andaya
Catanduanes ,Lone ,"Leandro B. Verceles, Jr. ",LDP ,1,9,Leandro,Verceles
Cavite ,1st ,"Dominador G. Nazareno, Jr. ",NPC ,1,9,Dominador,Nazareno
Cavite ,2nd ,Renato P. Dragon ,LDP/MAGDALO ,2,9,Renato,Dragon
Cavite ,3rd ,Telesforo A. Unas ,LDP ,1,9,Telesforo,Unas
Cebu ,1st ,Eduardo R. Gullas ,LDP ,1,9,Eduardo,Gullas
Cebu ,2nd ,Crisologo Abines ,NPC ,2,9,Crisologo,Abines
Cebu ,3rd ,Pablo P. Garcia ,LDP ,2,9,Pablo,Garcia
Cebu ,4th ,"Celestino E. Martinez, Jr. ",Lakas NUCD ,2,9,Celestino,Martinez
Cebu ,5th ,Ramon D. Durano III ,NPC ,2,9,Ramon,Durano
Cebu ,6th ,Nerissa Corazon Soon-Ruiz ,LDP ,1,9,Nerissa,Soon-Ruiz
Cebu City ,1st ,Raul V. Del Mar , ,2,9,Raul,Mar
Cebu City ,2nd ,Antonio V. Cuenco , ,2,9,Antonio,Cuenco
Cotabato (North) ,1st ,Anthony P. Dequiña , ,1,9,Anthony,Dequiña
Cotabato (North) ,2nd ,Gregorio A. Andolana , ,2,9,Gregorio,Andolana
Davao City ,1st ,Jesus G. Dureza , ,2,9,Jesus,Dureza
Davao City ,2nd ,Manuel M. Garcia , ,1,9,Manuel,Garcia
Davao City ,3rd ,Elias B. Lopez , ,1,9,Elias,Lopez
Davao del Norte ,1st ,Rogelio M. Sarmiento , ,1,9,Rogelio,Sarmiento
Davao del Norte ,2nd ,Baltazar A. Sator , ,2,9,Baltazar,Sator
Davao del Norte ,3rd ,Rodolfo P. Del Rosario , ,2,9,Rodolfo,Rosario
Davao del Sur ,1st ,"Alejandro D. Almendras, Sr. ", ,1,9,Alejandro,Almendras
Davao del Sur ,2nd ,"Benjamin V. Bautista, Sr. ", ,2,9,Benjamin,Bautista
Davao Oriental ,1st ,Ma. Elena T. Palma-Gil , ,1,9,Elena,Palma-Gil
Davao Oriental ,2nd ,Thelma Z. Almario , ,2,9,Thelma,Almario
Eastern Samar ,Lone ,Jose T. Ramirez , ,2,9,Jose,Ramirez
Ifugao ,Lone ,Benjamin B. Cappleman ,LDP ,1,9,Benjamin,Cappleman
Ilocos Norte ,1st ,"Roque R. Ablan, Jr. ",KBL ,2,9,Roque,Ablan
Ilocos Norte ,2nd ,Ferdinand R. Marcos II ,KBL ,1,9,Ferdinand,Marcos
Ilocos Sur ,1st ,Mariano M. Tajon ,LDP ,1,9,Mariano,Tajon
Ilocos Sur ,2nd ,Eric D. Singson ,LDP ,2,9,Eric,Singson
Iloilo ,1st ,Oscar G. Garin , ,2,9,Oscar,Garin
