Province,District,Name,Party,,,,,Year,First,Last
Abra ,Lone ,"Luis P. Bersamin, Jr.[n 1]",KAMPI ,2,2001,Majority ,,13,Luis,""
Agusan del Norte ,1st,Leovigildo B. Banaag ,Lakas-CMD ,3,1998,Majority ,,13,Leovigildo,Banaag
Agusan del Norte ,2nd,Ma. Angelica Rosedell M. Amante ,Lakas-CMD ,1,2004,Majority ,,13,Angelica,Amante
Agusan del Sur ,Lone ,Rodolfo G. Plaza ,NPC ,2,2001,Minority ,,13,Rodolfo,Plaza
Aklan ,Lone ,Florencio T. Miraflores ,Liberal ,1,2004,Majority ,,13,Florencio,Miraflores
Albay ,1st,Edcel C. Lagman ,Lakas-CMD ,1,2004,Majority ,,13,Edcel,Lagman
Albay ,2nd,Carlos R. Imperial ,NPC/Lakas-CMD ,2,2001,Majority ,,13,Carlos,Imperial
Albay ,3rd,Joey S. Salceda[n 2],Lakas-CMD/KAMPI ,3,1998,Majority ,,13,Joey,""
Antipolo City ,1st,"Ronaldo Puno, Jr.[n 3]",KAMPI ,1,2004,Majority ,,13,Ronaldo,""
Antipolo City ,2nd,Victor R. Sumulong ,KAMPI ,3,1998,Majority ,,13,Victor,Sumulong
Antique ,Lone ,Exequiel B. Javier ,Lakas-CMD ,2,2001,Majority ,,13,Exequiel,Javier
Apayao ,Lone ,"Elias C. Bulut, Jr. ",NPC ,3,1998,Majority ,,13,Elias,Bulut
Aurora ,Lone ,Juan Edgardo M. Angara ,LDP ,1,2004,Minority ,,13,Juan,Angara
Bacolod City ,Lone ,Monico O. Puentevella ,Lakas-CMD ,2,2001,Majority ,,13,Monico,Puentevella
Baguio City ,Lone ,Mauricio G. Domogan ,Lakas-CMD ,2,2001,Majority ,,13,Mauricio,Domogan
Basilan ,Lone ,Gerry A. Salapuddin ,Lakas-CMD ,3,1998,Majority ,,13,Gerry,Salapuddin
Bataan ,1st,Antonino P. Roman ,Liberal ,3,1998,Majority ,,13,Antonino,Roman
Bataan ,2nd,Albert S. Garcia ,Lakas-CMD/KAMPI ,1,2004,Majority ,,13,Albert,Garcia
Batanes ,Lone ,Henedina R. Abad ,Liberal ,1,2004,Majority ,,13,Henedina,Abad
Batangas ,1st,Eileen Ermita-Buhain ,Lakas-CMD ,2,2001,Majority ,,13,Eileen,Ermita-Buhain
Batangas ,2nd,Hermilando I. Mandanas ,Liberal ,1,2004,Majority ,,13,Hermilando,Mandanas
Batangas ,3rd,Victoria H. Reyes ,Lakas-CMD ,2,2001,Majority ,,13,Victoria,Reyes
Batangas ,4th,Oscar L. Gozos ,KAMPI ,2,2001,Majority ,,13,Oscar,Gozos
Benguet ,Lone ,Samuel M. Dangwa ,Lakas-CMD ,2,2001,Majority ,,13,Samuel,Dangwa
Biliran ,Lone ,"Gerardo J. Espina, Jr. ",KAMPI ,1,2004,Majority ,,13,Gerardo,Espina
Bohol ,1st,Edgar M. Chatto ,Lakas-CMD ,2,2001,Majority ,,13,Edgar,Chatto
Bohol ,2nd,Roberto C. Cajes ,Lakas-CMD ,2,2001,Majority ,,13,Roberto,Cajes
Bohol ,3rd,Eladio M. Jala ,Lakas-CMD ,3,1998,Majority ,,13,Eladio,Jala
Bukidnon ,1st,J.R. Nereus O. Acosta ,Liberal ,3,1998,Majority ,,13,J.R.,Acosta
Bukidnon ,2nd,Teofisto TG L. Guingona III ,Nacionalista ,1,2004,Minority ,,13,Teofisto,Guingona
Bukidnon ,3rd,Juan Miguel F. Zubiri ,Lakas-CMD ,3,1998,Majority ,,13,Juan,Zubiri
Bulacan ,1st,Wilhelmino M. Sy-Alvarado ,Lakas-CMD ,3,1998,Majority ,,13,Wilhelmino,Sy-Alvarado
Bulacan ,2nd,Pedro M. Pancho ,NPC ,1,2004,Majority ,,13,Pedro,Pancho
Bulacan ,3rd,Lorna C. Silverio ,Lakas-CMD ,2,2001,Majority ,,13,Lorna,Silverio
