Province,District,Name,Party,,,,Year,First,Last
Agusan del Norte ,1st ,Lawrence Lemuel Fortun ,Nacionalista ,2,Majority ,,17,Lawrence,Fortun
Agusan del Norte ,2nd ,Erlpe John Amante ,Nacionalista ,2,Majority ,,17,Erlpe,Amante
Agusan del Sur ,1st ,Maria Valentina Plaza ,PDP-Laban ,3,Majority ,,17,Maria,Plaza
Agusan del Sur ,2nd ,Evelyn Plaza-Mellana ,PDP-Laban ,3,Majority ,,17,Evelyn,Plaza-Mellana
Aklan ,Lone ,Carlito Marquez ,NPC ,1,Majority ,,17,Carlito,Marquez
Albay ,1st ,Edcel Lagman ,Liberal ,1,Independent minority ,,17,Edcel,Lagman
Albay ,2nd ,Joey Salceda ,PDP-Laban ,1,Majority ,,17,Joey,Salceda
Albay ,3rd ,Fernando Gonzalez ,PDP-Laban ,3,Majority ,,17,Fernando,Gonzalez
Antipolo ,1st ,Cristina Roa-Puno ,NUP ,1,Majority ,,17,Cristina,Roa-Puno
Antipolo ,2nd ,Romeo Acop ,NUP ,3,Majority ,,17,Romeo,Acop
Antique ,Lone ,Paolo Everardo Javier ,PDP-Laban ,3,Majority ,,17,Paolo,Javier
Apayao ,Lone ,Eleanor Bulut-Begtang ,PDP-Laban ,3,Majority ,,17,Eleanor,Bulut-Begtang
Aurora ,Lone ,Bellaflor Angara-Castillo ,LDP ,2,Majority ,,17,Bellaflor,Angara-Castillo
Bacolod ,Lone ,Greg Gasataya ,NPC ,1,Majority ,,17,Greg,Gasataya
Baguio ,Lone ,Mark Go ,Nacionalista ,1,Majority ,,17,Mark,Go
Basilan ,Lone ,Jum Akbar3 ,Liberal ,1,Majority ,,17,Jum,Akbar
Bataan ,1st ,Geraldine Roman[11] ,PDP-Laban ,1,Majority ,,17,Geraldine,Roman
Bataan ,2nd ,Jose Enrique Garcia III ,PDP-Laban ,1,Majority ,,17,Jose,Garcia
Batanes ,Lone ,Henedina Abad5 ,Liberal ,3,Majority ,,17,Henedina,Abad
Batangas ,1st ,Eileen Ermita-Buhain ,Nacionalista ,2,Majority ,,17,Eileen,Ermita-Buhain
Batangas ,2nd ,Raneo Abu ,Nacionalista ,2,Majority ,,17,Raneo,Abu
Batangas ,3rd ,Maria Theresa Collantes ,PDP-Laban ,1,Majority ,,17,Maria,Collantes
Batangas ,4th ,Lianda Bolilia ,Nacionalista ,1,Majority ,,17,Lianda,Bolilia
Batangas ,5th ,Mario Vittorio Mariño ,Nacionalista ,1,Majority ,,17,Mario,Mariño
Batangas ,6th ,Vilma Santos-Recto ,Nacionalista ,1,Majority ,,17,Vilma,Santos-Recto
Benguet ,Lone ,Ronald Cosalan ,PDP-Laban ,3,Majority ,,17,Ronald,Cosalan
Biliran ,Lone ,Rogelio Espina ,Nacionalista ,3,Majority ,,17,Rogelio,Espina
