Province,District,Name,Party,,,Year,First,Last
Abra ,Lone ,JB Bernos ,Nacionalista/Asenso ,2,Majority ,18,JB,Bernos
Agusan del Norte ,1st,Lawrence Lemuel Fortun ,Nacionalista ,3,Minority ,18,Lawrence,Fortun
Agusan del Norte ,2nd,Angelica Amante ,PDP-Laban ,1,Majority ,18,Angelica,Amante
Agusan del Sur ,1st,Adolph Edward Plaza ,NUP ,1,Majority ,18,Adolph,Plaza
Agusan del Sur ,2nd,Alfel Bascug ,NUP ,1,Majority ,18,Alfel,Bascug
Aklan ,1st,Carlito Marquez ,NPC ,2,Majority ,18,Carlito,Marquez
Aklan ,2nd,"Teodorico Haresco, Jr. ",Nacionalista ,1,Majority ,18,Teodorico,Haresco
Albay ,1st,Edcel Lagman ,Liberal ,2,Independent Minority ,18,Edcel,Lagman
Albay ,2nd,Joey Salceda ,PDP-Laban ,2,Majority ,18,Joey,Salceda
Albay ,3rd,Fernando Cabredo ,PDP-Laban ,1,Majority ,18,Fernando,Cabredo
Antipolo ,1st,Roberto Puno ,NUP ,1,Majority ,18,Roberto,Puno
Antipolo ,2nd,Resurreccion Acop ,NUP ,1,Majority ,18,Resurreccion,Acop
Antique ,Lone ,Loren Legarda ,NPC ,1,Majority ,18,Loren,Legarda
Apayao ,Lone ,"Elias Bulut, Jr. ",NPC ,1,Majority ,18,Elias,Bulut
Aurora ,Lone ,Rommel Rico Angara ,LDP ,1,Majority ,18,Rommel,Angara
Bacolod ,Lone ,Greg Gasataya ,NPC ,2,Majority ,18,Greg,Gasataya
Baguio ,Lone ,Mark Go ,Nacionalista ,2,Majority ,18,Mark,Go
Basilan ,Lone ,Mujiv Hataman ,Liberal ,1,Majority ,18,Mujiv,Hataman
Bataan ,1st,Geraldine Roman ,PDP-Laban ,2,Majority ,18,Geraldine,Roman
Bataan ,2nd,Jose Enrique Garcia III ,NUP ,2,Majority ,18,Jose,Garcia
Batanes ,Lone ,"Ciriaco Gato, Jr. ",NPC ,1,Majority ,18,Ciriaco,Gato
Batangas ,1st,Eileen Ermita-Buhain ,Nacionalista ,3,Majority ,18,Eileen,Ermita-Buhain
Batangas ,2nd,Raneo Abu ,Nacionalista ,3,Majority ,18,Raneo,Abu
Batangas ,3rd,Maria Theresa Collantes ,PDP-Laban ,2,Majority ,18,Maria,Collantes
Batangas ,4th,Lianda Bolilia ,Nacionalista ,2,Majority ,18,Lianda,Bolilia
Batangas ,5th,Mario Vittorio Mariño ,Nacionalista ,2,Majority ,18,Mario,Mariño
Batangas ,6th,Vilma Santos-Recto ,Nacionalista ,2,Majority ,18,Vilma,Santos-Recto
Benguet ,Lone ,Nestor Fongwan ,PDP-Laban ,1,Majority ,18,Nestor,Fongwan
Biliran ,Lone ,"Gerardo Espina, Jr. ",PDP-Laban ,1,Majority ,18,Gerardo,Espina
Biñan ,Lone ,Marlyn Alonte-Naguiat ,PDP-Laban ,2,Majority ,18,Marlyn,Alonte-Naguiat
Bohol ,1st,Edgar Chatto ,Liberal ,1,Majority ,18,Edgar,Chatto
Bohol ,2nd,Erico Aristotle Aumentado ,NPC ,3,Majority ,18,Erico,Aumentado
Bohol ,3rd,Kristine Alexie Besas-Tutor ,Nacionalista ,1,Majority ,18,Kristine,Besas-Tutor
Bukidnon ,1st,Maria Lourdes Acosta-Alba ,Bukidnon Paglaum ,3,Majority ,18,Maria,Acosta-Alba
Bukidnon ,2nd,Johnathan Keith Flores ,PDP-Laban ,1,Majority ,18,Johnathan,Flores
Bukidnon ,3rd,Manuel Zubiri ,Bukidnon Paglaum ,2,Majority ,18,Manuel,Zubiri
Bukidnon ,4th,Rogelio Neil Roque ,Nacionalista ,3,Majority ,18,Rogelio,Roque
Bulacan ,1st,Jose Antonio Sy-Alvarado ,NUP ,2,Majority ,18,Jose,Sy-Alvarado
Bulacan ,2nd,Gavini Pancho ,NUP ,3,Majority ,18,Gavini,Pancho
Bulacan ,3rd,Lorna Silverio ,NUP ,2,Majority ,18,Lorna,Silverio
Bulacan ,4th,Henry Villarica ,PDP-Laban ,1,Majority ,18,Henry,Villarica
Cagayan ,1st,"Ramon Nolasco, Jr. ",NUP ,1,Majority ,18,Ramon,Nolasco
Cagayan ,2nd,Sam Vargas-Alfonso ,NUP ,1,Majority ,18,Sam,Vargas-Alfonso
Cagayan ,3rd,Joseph Lara ,PDP-Laban ,1,Majority ,18,Joseph,Lara
Cagayan de Oro ,1st,Rolando Uy ,PDP-Laban ,3,Majority ,18,Rolando,Uy
Cagayan de Oro ,2nd,Rufus Rodriguez ,CDP ,1,Majority ,18,Rufus,Rodriguez
Calamba ,Lone ,"Joaquin Chipeco, Jr. ",Nacionalista ,3,Majority ,18,Joaquin,Chipeco
Caloocan ,1st,Dale Malapitan ,PDP-Laban ,2,Majority ,18,Dale,Malapitan
Caloocan ,2nd,Edgar Erice ,Liberal ,3,Majority ,18,Edgar,Erice
Camarines Norte ,1st,Josefina Tallado ,PDP-Laban ,1,Majority ,18,Josefina,Tallado
Camarines Norte ,2nd,Marisol Panotes ,PDP-Laban ,2,Majority ,18,Marisol,Panotes
Camarines Sur ,1st,Marissa Andaya ,NPC ,1,Majority ,18,Marissa,Andaya
Camarines Sur ,2nd,Luis Raymund Villafuerte ,Nacionalista ,2,Majority ,18,Luis,Villafuerte
Camarines Sur ,3rd,"Gabriel Bordado, Jr. ",Liberal ,2,Minority ,18,Gabriel,Bordado
Camarines Sur ,4th,Arnulf Bryan Fuentebella ,NPC ,1,Majority ,18,Arnulf,Fuentebella
Camarines Sur ,5th,Josal Fortuno ,Nacionalista ,1,Majority ,18,Josal,Fortuno
Camiguin ,Lone ,Xavier Jesus Romualdo ,PDP-Laban ,3,Majority ,18,Xavier,Romualdo
Capiz ,1st,Emmanuel Billones ,Liberal ,2,Majority ,18,Emmanuel,Billones
Capiz ,2nd,Fredenil Castro ,Lakas ,3,Majority ,18,Fredenil,Castro
Catanduanes ,Lone ,Hector Sanchez ,Lakas ,1,Majority ,18,Hector,Sanchez
Cavite ,1st,Francis Gerald Abaya ,Liberal ,3,Majority ,18,Francis,Abaya
Cavite ,2nd,Strike Revilla ,NUP ,2,Majority ,18,Strike,Revilla
Cavite ,3rd,Alex Advincula ,NUP ,3,Minority ,18,Alex,Advincula
Cavite ,4th,"Elpidio Barzaga, Jr. ",NUP ,1,Majority ,18,Elpidio,Barzaga
Cavite ,5th,Dahlia Loyola ,NPC ,1,Majority ,18,Dahlia,Loyola
Cavite ,6th,Luis Ferrer IV ,NUP ,3,Majority ,18,Luis,Ferrer
Cavite ,7th,Jesus Crispin Remulla ,Nacionalista ,1,Majority ,18,Jesus,Remulla
Cavite ,8th,Abraham Tolentino ,NUP ,3,Majority ,18,Abraham,Tolentino
Cebu ,1st,Eduardo Gullas ,Nacionalista[1],1,Majority ,18,Eduardo,Gullas
Cebu ,2nd,Wilfredo Caminero ,NUP ,3,Majority ,18,Wilfredo,Caminero
Cebu ,3rd,Pablo John Garcia ,NUP/1-Cebu,1,Majority ,18,Pablo,Garcia
Cebu ,4th,Janice Salimbangon ,NUP/1-Cebu,1,Majority ,18,Janice,Salimbangon
Cebu ,5th,Duke Frasco ,Lakas ,1,Majority ,18,Duke,Frasco
