"District Representatives ","","",""
"Province/City ","District ","Representative ","Party "
"Abra ","Lone ","Rudolfo A. Bernardez ","LDP  "
"Agusan del Norte ","1st ","Charito B. Plaza ","Liberal "
"","2nd ","Edelmiro A. Amante, Sr. ","Nacionalista "
"Agusan del Sur ","Lone ","Democrito O. Plaza ","KBL "
"Aklan ","Lone ","Ramon B. Legaspi ","LDP "
"Albay ","1st ","Edcel C. Lagman ","LDP "
"","2nd ","Carlos R. Imperial ","Independent "
"","3rd ","Efren R. Sarte ","Liberal "
"Antique ","Lone ","Exequiel B. Javier ","LDP "
"Aurora ","Lone ","Benedicto G. Miran ","LDP "
"Bacolod City ","Lone ","Romeo G. Guanzon ","Independent "
"Basilan ","Lone ","Alvin G. Dans ","LDP "
"Bataan ","1st ","Felicito C. Payumo ","Liberal "
"","2nd ","Enrique T. Garcia ","LDP "
"Batanes ","Lone ","Florencio B. Abad[1] ","Liberal "
"Batangas ","1st ","Conrado V. Apacible ","Liberal "
"","2nd ","Hernando B. Perez ","LDP "
"","3rd ","Milagros Laurel-Trinidad ","Nacionalista Party (earlier UNIDO) "
"","4th ","Jose E. Calingasan ","LDP "
"Benguet ","1st ","Honorato Y. Aquino ","LDP "
"","2nd ","Samuel M. Dangwa ","LDP "
"Bohol ","1st ","Venice Borja-Agana "," "
"","2nd ","David B. Tirol "," "
"","3rd ","Isidro C. Zarraga "," "
"Bukidnon ","1st ","Socorro O. Acosta "," "
"","2nd ","Violeta T. Labaria "," "
"","3rd ","Jose Ma. R. Zubiri, Jr. ","KBL "
"Bulacan ","1st ","Francisco B. Aniag, Jr. "," "
"","2nd ","Vicente C. Rivera, Jr. "," "
"","3rd ","Jose L. Cabochan "," "
"","4th ","Rogaciano M. Mercado[2] ","LDP "
"Cagayan ","1st ","Domingo A. Tuzon "," "
"","2nd ","Leoncio M. Puzon ","KBL "
"","3rd ","Tito M. Dupaya "," "
"Cagayan de Oro City ","Lone ","Benedicta B. Roa "," "
"Caloocan City ","1st ","Virgilio P. Robles "," "
"","","Romeo L. Santos[3] "," "
"","2nd ","Gerardo P. Cabochan "," "
"Camarines Norte ","Lone ","Renato M. Unico ","LDP "
"Camarines Sur ","1st ","Rolando R. Andaya "," "
"","2nd ","Raul S. Roco ","LDP "
"","3rd ","Eduardo P. Pilapil "," "
"","4th ","Ciriaco R. Alfelor "," "
"Camiguin ","Lone ","Pedro P. Romualdo "," "
"Capiz ","1st ","Gerardo A. Roxas, Jr. ","Liberal "
"","2nd ","Cornelio T. Villareal ","Liberal "
"Catanduanes ","Lone ","Moises M. Tapia[4] "," "
"Cavite ","1st ","Leonardo L. Guerrero "," "
"","2nd ","Renato P. Dragon ","KBL "
"","3rd ","Jorge A. Nuñez "," "
"Cebu ","1st ","Antonio Bacaltos "," "
"","2nd ","Crisologo A. Abines "," "
"","3rd ","Pablo P. Garcia ","LDP "
"","4th ","Celestino E. Martinez, Jr. ","LDP "
"","5th ","Ramon D. Durano III ","KBL "
"","6th ","Vicente L. de la Serna ","LDP "
"Cebu City ","1st ","Raul V. Del Mar ","LDP "
"","2nd ","Antonio V. Cuenco ","LDP "
"Cotabato (North) ","1st ","Rodrigo B. Gutang "," "
"","2nd ","Gregorio A. Andolana ","PnB "
"Davao City ","1st ","Jesus G. Dureza ","LDP "
"","","Prospero C. Nograles[5] "," "
"","2nd ","Cornelio P. Maskariño "," "
"","3rd ","Luis T. Santos "," "
"Davao del Norte ","1st ","Lorenzo S. Sarmiento "," "
"","2nd ","Baltazar A. Sator "," "
"","3rd ","Rodolfo P. Del Rosario ","LDP "
"Davao del Sur ","1st ","Juanito G. Camasura, Jr. "," "
"","2nd ","Benjamin V. Bautista, Sr. ","KBL "
"Davao Oriental ","1st ","Enrico G. Dayanghirang ","PDP-Laban "
"","2nd ","Thelma Z. Almario ","LDP "
"Eastern Samar ","Lone ","Jose T. Ramirez "," "
"Ifugao ","Lone ","Gualberto B. Lumauig ","KBL "
"Ilocos Norte ","1st ","Roque R. Ablan, Jr. ","KBL "
"","2nd ","Mariano R. Nalupta, Jr. "," "
"Ilocos Sur ","1st ","Luis C. Singson ","KBL "
"","2nd ","Eric D. Singson ","KBL "
"Iloilo ","1st ","Oscar G. Garin "," "
"","2nd ","Alberto J. Lopez "," "
"","3rd ","Licurgo P. Tirador "," "
"","4th ","Narciso D. Monfort ","KBL "
"","5th ","Neil D. Tupas ","KBL "
"Iloilo City ","Lone ","Rafael J. Lopez-Vito "," "
"Isabela ","1st ","Rodolfo B. Albano ","KBL "
"","2nd ","Simplicio B. Domingo, Jr. ","KBL "
"","3rd ","Santiago P. Respicio "," "
"","4th ","Antonio M. Abaya ","KBL "
"Kalinga-Apayao ","Lone ","William F. Claver "," "
"La Union ","1st ","Victor F. Ortega ","Nacionalista/KBL "
"","2nd ","Jose D. Aspiras ","KBL "
"Laguna ","1st ","Nereo R. Joaquin "," "
"","2nd ","Justin M. Chipeco, Jr. ","KBL "
"","3rd ","Florante L. Aquino "," "
"","4th ","Magdaleno M. Palacol "," "
"Lanao del Norte ","1st ","Mariano Ll. Badelles ","KBL "
"","2nd ","Abdullah D. Dimaporo[6] ","KBL "
"Lanao del Sur ","1st ","Sultan Omar M. Dianalan ","LDP "
"","2nd ","Mohamad Ali B. Dimaporo ","KBL "
"Las Piñas-Muntinlupa ","Lone ","Filemon C. Aguilar "," "
"Leyte ","1st ","Cirilo Roy C. Montejo "," "
"","2nd ","Manuel L. Horca, Jr. "," "
"","3rd ","Alberto S. Veloso ","KBL "
"","4th ","Carmelo J. Locsin ","independent "
"","5th ","Eriberto V. Loreto ","LDP "
"Maguindanao ","1st ","Michael Mastura "," "
"","2nd ","Guimid P. Matalam "," "
"Makati ","Lone ","Ma. Consuelo Puyat-Reyes ","KBL "
"Malabon-Navotas ","Lone ","Teresa Aquino-Oreta ","LDP "
"Manila ","1st ","Martin B. Isidro ","Liberal "
"","2nd ","Jaime C. Lopez ","PDP-Laban "
"","3rd ","Leonardo B. Fugoso "," "
"","4th ","Ramon S. Bagatsing, Jr. ","LDP "
"","5th ","Amado S. Bagatsing ","LDP "
"","6th ","Pablo V. Ocampo "," "
"Marikina ","Lone ","Democlito J. Angeles "," "
"Marinduque ","Lone ","Carmencita O. Reyes "," "
"Masbate ","1st ","Tito R. Espinosa "," "
"","2nd ","Luz Cleta R. Bakunawa "," "
"","3rd ","Moises R. Espinosa[7] "," "
"Misamis Occidental ","1st ","Ernie D. Clarete "," "
"","2nd ","Herminia M. Ramiro "," "
"Misamis Oriental ","1st ","Isacio A. Pelaez "," "
"","2nd ","Victorico L. Chavez "," "
"Mountain Province ","Lone ","Victor S. Dominguez ","KBL "
"Negros Occidental ","1st ","Salvador S. Laguda "," "
"","2nd ","Manuel H. Puey "," "
"","3rd ","Jose Carlos V. Lacson "," "
"","4th ","Edward M. Matti "," "
"","5th ","Mariano M. Yulo "," "
"","6th ","Hortensia L. Starke "," "
"Negros Oriental ","1st ","Jerome V. Paras "," "
"","2nd ","Miguel L. Romero ","LDP "
"","3rd ","Margarito B. Teves "," "
"Northern Samar ","1st ","Raul A. Daza ","Liberal "
"","2nd ","Jose L. Ong, Jr. ","LDP "
"Nueva Ecija ","1st ","Eduardo Nonato N. Joson ","KBL/BALANE "
"","2nd ","Simeon E. Garcia, Jr. "," "
"","3rd ","Hermogenes D. Concepcion, Jr. "," "
"","4th ","Nicanor D. De Guzman, Jr.[8] "," "
"Nueva Vizcaya ","Lone ","Carlos M. Padilla ","LDP "
"Occidental Mindoro ","Lone ","Mario Gene J. Mendiola "," "
"Oriental Mindoro ","1st ","Rodolfo G. Valencia "," "
"","2nd ","Jesus M. Punzalan "," "
"Palawan ","1st ","David A. Ponce De Leon "," "
"","2nd ","Ramon V. Mitra ","LDP "
"Pampanga ","1st ","Carmelo F. Lazatin "," "
"","2nd ","Emigdio L. Lingad ","LDP "
"","3rd ","Oscar S. Rodriguez ","PnB "
"","4th ","Marciano M. Pineda "," "
"","","Emilio Bondoc[9] "," "
"Pangasinan ","1st ","Oscar M. Orbos[10] "," "
