"District Representatives ","","","",""
"Province/City ","District ","Representative ","Party ","Term "
"Abra ","Lone ","Jeremias Z. Zapata ","Lakas-NUCD ","2 "
"Agusan del Norte ","1st ","Charito B. Plaza ","Liberal ","3 "
"","2nd ","Eduardo L. Rama, Sr. ","LDP ","1 "
"Agusan del Sur ","Lone ","Ceferino S. Paredes Jr. ","NPC ","2 "
"Aklan ","Lone ","Allen S. Quimpo ","Lakas-NUCD ","2 "
"Albay ","1st ","Edcel C. Lagman ","LDP ","3 "
"","2nd ","Carlos R. Imperial ","NPC ","2 "
"","3rd ","Romeo R. Salalima ","Lakas-NUCD ","1 "
"Antique ","Lone ","Exequiel B. Javier ","Lakas-NUCD ","3 "
"Aurora ","Lone ","Bellaflor Angara-Castillo ","LDP ","1 "
"Bacolod City ","Lone ","Romeo G. Guanzon ","Lakas-NUCD ","3 "
"Baguio City ","Lone ","Bernardo M. Vergara ","Lakas-NUCD ","1 "
"Basilan ","Lone ","Candu I. Muarip ","LDP ","1 "
"Bataan ","1st ","Felicito C. Payumo ","Liberal ","3 "
"","2nd ","Enrique T. Garcia Jr. ","LDP ","1 "
"Batanes ","Lone ","Florencio B. Abad ","Liberal ","1 "
"Batangas ","1st ","Eduardo R. Ermita ","Lakas-NUCD ","2 "
"","2nd ","Hernando B. Perez ","Lakas-NUCD ","3 "
"","3rd ","Milagros Laurel-Trinidad ","Lakas-NUCD ","3 "
"","4th ","Ralph G. Recto ","LDP ","2 "
"Benguet ","Lone ","Ronald M. Cosalan ","Lakas-NUCD ","1 "
"Biliran ","Lone ","Gerardo S. Espina ","NPC/Bando Espina ","1 "
"Bohol ","1st ","Venice Borja-Agana ","Lakas-NUCD ","3 "
"","2nd ","Erico B. Aumentado ","Lakas-NUCD ","2 "
"","3rd ","Isidro C. Zarraga ","Lakas-NUCD ","3 "
"Bukidnon ","1st ","Socorro O. Acosta ","Liberal ","3 "
"","2nd ","Reginaldo N. Tilanduca ","NPC ","2 "
"","3rd ","Jose Ma. R. Zubiri Jr. ","NPC ","3 "
"Bulacan ","1st ","Teodulo C. Natividad ","LDP ","2 "
"","2nd ","Pedro M. Pancho ","Lakas-NUCD ","2 "
"","3rd ","Ricardo C. Silverio ","Lakas-NUCD ","2 "
"","4th ","Angelito M. Sarmiento ","Lakas-NUCD ","2 "
"Cagayan ","1st ","Patricio T. Antonio ","Lakas-NUCD ","1 "
"","2nd ","Edgar R. Lara ","NPC ","2 "
"","3rd ","Manuel N. Mamba ","Lakas-NUCD ","1 "
"Cagayan de Oro City ","Lone ","Erasmo B. Damasing ","Lakas-NUCD ","2 "
"Caloocan City ","1st ","Roberto S. Guanzon ","Lakas-NUCD ","1 "
"","2nd ","Luis A. Asistio ","NPC ","2 "
"Camarines Norte ","Lone ","Emmanuel B. Pimentel ","LDP ","2 "
"Camarines Sur ","1st ","Rolando R. Andaya ","Lakas-NUCD ","3 "
"","2nd ","Leopoldo E. San Buenaventura ","PRP ","1 "
"","3rd ","Arnulfo P. Fuentebella ","NPC ","2 "
"","4th ","Ciriaco R. Alfelor ","Lakas-NUCD ","3 "
"Camiguin ","Lone ","Pedro P. Romualdo ","Lakas-NUCD ","3 "
"Capiz ","1st ","Manuel A. Roxas II ","Liberal ","2 "
"","2nd ","Vicente J. Andaya Jr. ","Lakas-NUCD ","2 "
"Catanduanes ","Lone ","Leandro B. Verceles Jr. ","NPC ","2 "
"Cavite ","1st ","Plaridel M. Abaya ","NPC ","1 "
"","2nd ","Renato P. Dragon ","LDP/Magdalo ","3 "
"","3rd ","Telesforo A. Unas ","LDP ","2 "
"Cebu ","1st ","Eduardo R. Gullas ","LDP ","2 "
"","2nd ","Crisologo A. Abines ","NPC ","3 "
"","3rd ","John Henry R. Osmeña ","NPC ","1 "
"","4th ","Celestino E. Martinez Jr. ","Lakas-NUCD ","3 "
"","5th ","Ramon D. Durano III ","NPC ","3 "
"","6th ","Nerissa Corazon Soon-Ruiz ","LDP ","2 "
"Cebu City ","1st ","Raul V. Del Mar ","Lakas-NUCD ","3 "
"","2nd ","Antonio V. Cuenco ","Lakas-NUCD ","3 "
"Cotabato (North) ","1st ","Anthony P. Dequiña ","NPC ","2 "
"","2nd ","Gregorio A. Andolana ","Lakas-NUCD ","3 "
"Davao City ","1st ","Prospero C. Nograles ","PRP ","1 "
"","2nd ","Manuel M. Garcia ","NPC ","2 "
"","3rd ","Elias B. Lopez ","NPC ","2 "
"Davao del Norte ","1st ","Rogelio M. Sarmiento ","Lakas-NUCD ","2 "
"","2nd ","Baltazar A. Sator ","Lakas-NUCD ","3 "
"","3rd ","Rodolfo P. Del Rosario ","Lakas-NUCD ","3 "
"Davao del Sur ","1st ","Alejandro Almendras Jr. ","NPC ","1 "
"","2nd ","Benjamin V. Bautista, Sr. ","LDP ","3 "
"Davao Oriental ","1st ","Ma. Elena T. Palma-Gil ","Lakas-NUCD ","2 "
"","2nd ","Thelma Z. Almario ","LDP ","3 "
"Eastern Samar ","Lone ","Jose T. Ramirez ","Lakas-NUCD ","3 "
"Guimaras ","Lone ","Catalino G. Nava "," ","1 "
"Ifugao ","Lone ","Benjamin B. Cappleman ","LDP ","2 "
"Ilocos Norte ","1st ","Roque R. Ablan Jr. ","KBL ","3 "
"","2nd ","Simeon M. Valdez ","Lakas-NUCD ","1 "
"Ilocos Sur ","1st ","Mariano M. Tajon ","LDP ","2 "
"","2nd ","Eric D. Singson ","LDP ","3 "
"Iloilo ","1st ","Oscar G. Garin ","Lakas-NUCD ","3 "
"","2nd ","Alberto J. Lopez ","Lakas-NUCD ","3 "
"","3rd ","Licurgo P. Tirador ","Lakas-NUCD ","3 "
"","4th ","Narciso D. Monfort ","Lakas-NUCD ","1 "
"","5th ","Neil D. Tupas, Sr. ","LDP ","3 "
"Iloilo City ","Lone ","Raul M. Gonzales ","Lakas-NUCD ","1 "
"Isabela ","1st ","Rodolfo B. Albano Jr. ","NPC ","3 "
"","2nd ","Faustino S. Dy Jr. ","NPC ","2 "
"","3rd ","Santiago P. Respicio ","NPC ","3 "
"","4th ","Antonio M. Abaya ","Lakas-NUCD ","3 "
"Kalinga-Apayao ","Lone ","Elias K. Bulut ","LDP ","2 "
"La Union ","1st ","Victor F. Ortega ","NPC ","3 "
"","2nd ","Jose D. Aspiras ","NPC ","3 "
"Laguna ","1st ","Nereo R. Joaquin Jr. ","NPC ","1 "
"","2nd ","Joaquin M. Chipeco Jr. ","LDP ","1 "
"","3rd ","Florante L. Aquino ","Lakas-NUCD ","3 "
"","4th ","Magdaleno M. Palacol ","Lakas-NUCD ","3 "
"Lanao del Norte ","1st ","Mariano Ll. Badelles, Sr. ","NPC ","3 "
"","2nd ","Abdullah S. Mangotara ","Lakas-NUCD ","1 "
"Lanao del Sur ","1st ","Mamintal M. Adiong ","Lakas-NUCD ","2 "
"","2nd ","Pangalian M. Balindong ","Liberal ","1 "
"Las Piñas-Muntinlupa ","Lone ","Manuel B. Villar Jr. ","Lakas-NUCD ","2 "
"Leyte ","1st ","Imelda R. Marcos2 ","KBL ","1 "
"","2nd ","Sergio Antonio F. Apostol ","Lakas-NUCD ","2 "
"","3rd ","Alberto S. Veloso ","NPC ","3 "
"","4th ","Carmelo J. Locsin ","independent ","3 "
"","5th ","Eriberto V. Loreto ","LDP ","3 "
"Maguindanao ","1st ","Didagen P. Dilangalen ","PMP ","1 "
"","2nd ","Simeon A. Datumanong ","Lakas-NUCD ","3 "
"Makati City ","Lone ","Joker P. Arroyo ","independent ","2 "
"Malabon–Navotas ","Lone ","Teresa Aquino-Oreta ","LDP ","3 "
"Mandaluyong ","Lone ","Neptali M. Gonzales II ","LDP ","1 "
"Manila ","1st ","Martin B. Isidro ","Liberal ","3 "
"","2nd ","Jaime C. Lopez ","Lakas-NUCD ","3 "
"","3rd ","Leonardo B. Fugoso ","Liberal ","3 "
"","4th ","Ramon S. Bagatsing Jr. ","LDP ","3 "
"","5th ","Amado S. Bagatsing ","LDP ","3 "
"","6th ","Rosenda Ann H. Ocampo ","NPC ","2 "
"Marikina ","Lone ","Romeo D. Candazo ","Lakas-NUCD ","2 "
"Marinduque ","Lone ","Carmencita O. Reyes ","Lakas-NUCD ","3 "
"Masbate ","1st ","Vida V. Espinosa ","LDP ","1 "
"","2nd ","Luz Cleta R. Bakunawa ","NPC ","3 "
"","3rd ","Fausto L. Seachon Jr. ","NPC ","1 "
"Misamis Occidental ","1st ","Percival B. Catane ","Lakas-NUCD ","2 "
"","2nd ","Herminia M. Ramiro ","Liberal ","1 "
"Misamis Oriental ","1st ","Homobono T. Cesar ","Lakas-NUCD ","2 "
"","2nd ","Victorico L. Chavez ","Lakas-NUCD ","2 "
"Mountain Province ","Lone ","Victor S. Dominguez ","LDP ","3 "
"Negros Occidental ","1st ","Julio A. Ledesma IV ","NPC ","1 "
"","2nd ","Alfredo G. Marañon ","NPC ","1 "
"","3rd ","Jose Carlos V. Lacson ","Lakas-NUCD ","3 "
"","4th ","Edward M. Matti ","NPC ","3 "
"","5th ","Mariano M. Yulo ","NPC ","3 "
"","6th ","Genaro M. Alvarez Jr. ","NPC ","1 "
"Negros Oriental ","1st ","Jerome V. Paras ","LDP ","3 "
"","2nd ","Miguel L. Romero ","LDP ","3 "
"","3rd ","Margarito B. Teves ","Lakas-NUCD ","3 "
"Northern Samar ","1st ","Raul A. Daza ","Liberal ","3 "
"","2nd ","Wilmar P. Lucero ","Liberal ","2 "
"Nueva Ecija ","1st ","Renato V. Diaz ","Lakas-NUCD ","2 "
"","2nd ","Eleuterio R. Violago ","NPC/BALANE ","2 "
"","3rd ","Pacifico M. Fajardo ","NPC ","2 "
"","4th ","Julita Lorenzo-Villareal ","LDP ","1 "
"Nueva Vizcaya ","Lone ","Carlos M. Padilla ","LDP ","1 "
"Occidental Mindoro ","Lone ","Jose T. Villarosa ","LDP ","2 "
"Oriental Mindoro ","1st ","J. Renato V. Leviste ","NPC ","2 "
"","2nd ","Jesus M. Punzalan ","Lakas-NUCD ","3 "
"Palawan ","1st ","Vicente A. Sandoval ","Lakas-NUCD ","1 "
"","2nd ","Alfredo Amor E. Abueg Jr. ","LDP ","2 "
"Pampanga ","1st ","Carmelo F. Lazatin ","Lakas-NUCD ","3 "
"","2nd ","Zenaida C. Cruz-Ducut ","NPC ","1 "
"","3rd ","Oscar S. Rodriguez ","NPC ","1 "
"","4th ","Emilio Bondoc ","NPC ","3 "
"Pangasinan ","1st ","Hernani A. Braganza "," ","1 "
"","2nd ","Antonio E. Bengson III "," ","1 "
"","3rd ","Eric Galo P. Acuña "," ","2 "
"","4th ","Jose C. De Venecia Jr. ","Lakas-NUCD ","3 "
"","5th ","Amadeo R. Perez Jr. "," ","2 "
"","6th ","Ranjit R. Shahani "," ","1 "
"Parañaque ","Lone ","Roilo J. Golez "," ","2 "
"Pasay City ","Lone ","Jovito O. Claudio "," ","2 "
"Pasig ","Lone ","Rufino S. Javier "," ","3 "
"Pateros–Taguig ","Lone ","Dante O. Tinga "," ","3 "
"Quezon ","1st ","Wilfrido L. Enverga "," ","3 "
"","2nd ","Marcial C. Punzalan Jr. "," ","2 "
"","3rd ","Danilo E. Suarez "," ","2 "
"","4th ","Wigberto E. Tañada "," ","1 "
"Quezon City ","1st ","Reynaldo A. Calalay "," ","1 "
"","2nd ","Dante V. Liban "," ","2 "
"","3rd ","Michael I. Defensor "," ","1 "
"","4th ","Feliciano R. Belmonte Jr. ","Lakas-NUCD ","2 "
"Quirino ","Lone ","Junie E. Cua "," ","3 "
"Rizal ","1st ","Gilberto M. Duavit "," ","2 "
"","2nd ","Emigdio S. Tanjuatco Jr. "," ","3 "
"Romblon ","Lone ","Eleandro Jesus F. Madrona "," ","2 "
"Samar (Western) ","1st ","Rodolfo T. Tuazon "," ","2 "
"","2nd ","Catalino V. Figueroa "," ","2 "
"San Juan ","Lone ","Ronaldo B. Zamora "," ","3 "
"Sarangani ","Lone ","James L. Chiongbian "," ","3 "
"Siquijor ","Lone ","Orlando B. Fua "," ","2 "
"Sorsogon ","1st ","Salvador H. Escudero III "," ","3 "
"","2nd ","Bonifacio H. Gillego "," ","3 "
"South Cotabato ","1st ","Luwalhati R. Antonino "," ","2 "
"","2nd ","Daisy P. Avance-Fuentes "," ","2 "
"Southern Leyte ","Lone ","Roger G. Mercado "," ","2 "
"Sultan Kudarat ","Lone ","Angelo O. Montilla "," ","1 "
"Sulu ","1st ","Bensaudi O. Tulawie "," ","2 "
"","2nd ","Asani S. Tammang "," ","2 "
"Surigao del Norte ","1st ","Constantino H. Navarro Jr. "," ","1 "
"","2nd ","Robert Z. Barbers1 "," ","1 "
"Surigao del Sur ","1st ","Mario S. Ty "," ","3 "
"","2nd ","Jesnar R. Falcon "," ","1 "
"Tarlac ","1st ","Jose S. Cojuangco Jr. "," ","3 "
"","2nd ","Jose V. Yap "," ","3 "
"","3rd ","Herminio S. Aquino "," ","3 "
"Tawi-Tawi ","Lone ","Nur G. Jaafar "," ","2 "
"Valenzuela ","Lone ","Antonio M. Serapio "," ","1 "
"Zambales ","1st ","James J. Gordon Jr. "," ","1 "
"","2nd ","Antonio M. Diaz "," ","2 "
"Zamboanga City ","Lone ","Maria Clara Lobregat ","LDP ","3 "
"Zamboanga del Norte ","1st ","Romeo G. Jalosjos "," ","1 "
"","2nd ","Cresente Y. Llorente Jr. "," ","1 "
"","3rd ","Angel M. Carloto "," ","3 "
"Zamboanga del Sur ","1st ","Alejandro S. Urro "," ","2 "
"","2nd ","Antonio H. Cerilles "," ","3 "
"","3rd ","Belma A. Cabilao "," ","2 "
