District Representatives ,,,,
Province/City ,District ,Representative ,Party ,Term 
Abra ,Lone ,Vicente Ysidro P. Valera ,LDP ,1
Agusan del Norte ,1st,Leovigildo B. Banaag ,LDP/LAMMP ,1
,2nd,Roan I. Libarios ,LAMMP ,1
Agusan del Sur ,Lone ,Alex G. Bascug ,LAMMP ,1
Aklan ,Lone ,Allen S. Quimpo ,LAMMP ,3
Albay ,1st,Kristel B. Lagman-Luistro ,LDP/LAMMP ,1
,2nd,Norma B. Imperial ,LAMMP ,1
,3rd,Joey S. Salceda ,LAMMP ,1
Antipolo City ,Lone ,Victor R. Sumulong ,NPC ,1
Antique ,Lone ,Jovito Plameras Jr. ,LAMMP ,1
Aurora ,Lone ,Bellaflor Angara-Castillo ,LDP/LAMMP ,2
Apayao ,Lone ,Elias K. Bulut ,LDP/LAMMP ,1
Bacolod City ,Lone ,Juan N. Orola Jr. ,LAMMP ,1
Baguio City ,Lone ,Bernardo M. Vergara ,Lakas-NUCD ,3
Basilan ,Lone ,Abdulgani A. Salapuddin ,LAMMP ,1
Bataan ,1st,Antonio P. Roman ,LAMMP ,1
,2nd,Enrique T. Garcia Jr. ,LDP ,2
Batanes ,Lone ,Florencio B. Abad ,Liberal ,2
Batangas ,1st,Eduardo R. Ermita:3,Lakas-NUCD ,3
,2nd,Edgar L. Mendoza ,LAMMP ,1
,3rd,Jose Macario Laurel IV ,Nacionalista ,1
,4th,Ralph G. Recto ,LDP/LAMMP ,3
Benguet ,Lone ,Ronald M. Cosalan ,LAMMP ,2
Biliran ,Lone ,Gerardo S. Espina ,Lakas-NUCD ,2
Bohol ,1st,Ernesto F. Herrera ,LAMMP ,1
,2nd,Erico B. Aumentado ,LAMMP ,3
,3rd,Eladio M. Jala ,LDP/LAMMP ,1
Bukidnon ,1st,Juan Romeo Nereus O. Acosta ,Liberal ,1
,2nd,Reginaldo N. Tilanduca ,NPC ,3
,3rd,Juan Miguel F. Zubiri ,NPC ,3
Bulacan ,1st,Wilhelmino M. Sy-Alvarado ,LAMMP ,1
,2nd,Pedro M. Pancho ,Lakas-NUCD ,3
,3rd,Ricardo C. Silverio ,Lakas-NUCD ,3
,4th,Angelito M. Sarmiento ,LAMMP ,3
Cagayan ,1st,Juan C. Ponce Enrile Jr. ,independent ,1
,2nd,Edgar R. Lara ,NPC/LAMMP ,3
,3rd,Rodolfo E. Aguinaldo1,LAMMP ,1
Cagayan de Oro City ,Lone ,Constantino G. Jaraula ,LAMMP ,1
Caloocan City ,1st,Enrico R. Echieverri ,Lakas-NUCD ,1
,2nd,Luis A. Asistio ,NPC/LAMMP ,3
Camarines Norte ,Lone ,Roy A. Padilla Jr. ,NPC/LAMMP ,1
Camarines Sur ,1st,Rolando G. Andaya Jr. ,Lakas-NUCD ,1
,2nd,Jaime S. Jacob ,Aksyon ,1
,3rd,Arnulfo P. Fuentebella ,NPC/LAMMP ,2
,4th,Salvio B. Fortuno ,LAMMP ,1
Camiguin ,Lone ,Jurdin Jesus M. Romualdo ,LAMMP ,1
Capiz ,1st,Manuel A. Roxas II4,Liberal ,2
,2nd,Vicente J. Andaya Jr. ,LAMMP ,2
Catanduanes ,Lone ,Leandro B. Verceles Jr. ,NPC ,3
Cavite ,1st,Plaridel M. Abaya ,NPC/LAMMP ,2
,2nd,Erineo Ayong Maliksi ,LDP/LAMMP/MAGDALO ,1
,3rd,Napoleon R. Beratio ,LDP/LAMMP ,1
Cebu ,1st,Eduardo R. Gullas ,LAMMP ,3
,2nd,Simeon L. Kintanar ,NPC/Alayon LAMMP ,1
,3rd,Antonio P. Yapha ,NPC/Alayon/LAMMP ,1
,4th,Clavel A. Martinez ,Lakas-NUCD ,1
,5th,Joseph H. Durano ,NPC/Alayon/LAMMP ,1
,6th,Efren T. Herrera ,LAMMP ,1
Cebu City ,1st,Raoul B. Del Mar ,LDP/LAMMP ,1
,2nd,Nancy R. Cuenco ,LDP/LAMMP ,1
Compostela Valley ,1st,Rogelio M. Sarmiento ,LAMMP ,3
,2nd,Prospero S. Amatong ,Lakas-NUCD ,1
Cotabato (North) ,1st,Anthony P. Dequiña ,LAMMP ,3
,2nd,Gregorio T. Ipong ,LAMMP ,1
Davao City ,1st,Rodrigo R. Duterte ,LAMMP/PDP-LABAN ,1
,2nd,Manuel M. Garcia ,Lakas-NUCD ,3
,3rd,Ruy Elias C. Lopez ,NPC/LAMMP ,1
Davao del Norte ,1st,Pantaleon D. Alvarez ,PMP/LAMMP ,1
,2nd,Antonio R. Floirendo Jr. ,LAMMP ,1
Davao del Sur ,1st,Douglas Ra. Cagas ,LAMMP ,1
,2nd,Franklin P. Bautista ,Lakas-NUCD ,1
Davao Oriental ,1st,Ma. Elena T. Palma-Gil ,Lakas-NUCD ,3
,2nd,Joel Mayo Z. Almario ,Lakas-NUCD ,1
Eastern Samar ,Lone ,Marcelino C. Libanan ,LAMMP ,1
Guimaras ,Lone ,Emily R. Lopez ,LAMMP ,1
Ifugao ,Lone ,Benjamin B. Cappleman ,LDP/LAMMP ,3
Ilocos Norte ,1st,Rodolfo C. Fariñas ,LAMMP ,1
,2nd,Maria Imelda Imee R. Marcos,KBL/LAMMP ,1
Ilocos Sur ,1st,Salacnib F. Baterina ,LAMMP ,1
,2nd,Grace G. Singson ,LDP/LAMMP ,1
Iloilo ,1st,Ninfa S. Garin ,LAMMP ,1
,2nd,Augusto L. Syjuco Jr. ,LAMMP ,1
,3rd,Manuel P. Parcon ,Lakas-NUCD ,1
,4th,Narciso D. Monfort ,Lakas-NUCD ,2
,5th,Rolex T. Suplico ,LDP/LAMMP ,1
Iloilo City ,Lone ,Raul M. Gonzales ,Nacionalista/Lakas-NUCD ,2
Isabela ,1st,Rodolfo T. Albano III ,NPC/LAMMP ,1
,2nd,Faustino S. Dy Jr. ,NPC/LAMMP ,3
,3rd,Ramon M. Reyes ,LAMMP ,1
,4th,Heherson T. Alvarez5,Lakas-NUCD ,1
