District Representatives ,,,,,,
Province/City ,District ,Representative ,,Party ,Term ,First Elected 
Abra ,Lone ,  ,Luis P. Bersamin Jr. ,PDSP ,1,2001
Agusan del Norte ,1st,  ,Leovigildo B. Banaag ,LDP/NPC ,2,1998
,2nd,  ,"Edelmiro A. Amante, Sr. ",Lakas-CMD ,1,2001
Agusan del Sur ,Lone ,  ,Rodolfo G. Plaza ,LDP ,1,2001
Aklan ,Lone ,  ,Gabrielle V. Calizo ,LDP ,1,2001
Albay ,1st,  ,Krisel B. Lagman-Luistro ,Lakas-CMD ,2,1998
,2nd,  ,Carlos R. Imperial ,NPC ,1,2001
,3rd,  ,Joey S. Salceda ,Lakas-CMD ,2,1998
Antipolo City ,Lone ,  ,Victor R. Sumulong ,LDP ,2,1998
Antique ,Lone ,  ,Exequiel B. Javier ,Lakas-CMD ,1,2001
Apayao ,Lone ,  ,Elias C. Bulut Jr ,NPC ,1,2001
Aurora ,Lone ,  ,Bellaflor J. Angara-Castillo ,LDP ,1,2001
Bacolod City ,Lone ,  ,Monico O. Puentevella ,Lakas-CMD ,1,2001
Baguio City ,Lone ,  ,Mauricio G. Domogan ,Lakas-CMD ,1,2001
Basilan ,Lone ,  ,Abdulgani A. Salapuddin ,Lakas-CMD ,2,1998
Bataan ,1st,  ,Antonino P. Roman ,independent ,2,1998
,2nd,  ,Enrique T. Garcia Jr. ,LDP ,3,1995
Batanes ,Lone ,  ,Florencio B. Abad ,Liberal ,3,1995
Batangas ,1st,  ,Eileen Ermita-Buhain ,Lakas-CMD ,1,2001
,2nd,  ,Francisco S. Perez II ,Lakas-CMD ,1,2001
,3rd,  ,Victoria H. Reyes ,Lakas-CMD ,1,2001
,4th,  ,Oscar L. Gozos ,Lakas-CMD ,1,2001
Benguet ,Lone ,  ,Samuel M. Dangwa ,REPORMA-LM ,1,2001
Biliran ,Lone ,  ,"Gerardo S. Espina, Sr. ",NPC/Bando Espina ,3,1995
Bohol ,1st,  ,Edgar M. Chatto ,Lakas-CMD ,1,2001
,2nd,  ,Roberto Cajes ,Lakas-CMD ,1,2001
,3rd,  ,Eladio M. Jala ,Lakas-CMD ,2,1998
Bukidnon ,1st,  ,J.R. Nereus O. Acosta ,Liberal ,2,1998
,2nd,  ,Berthobal R. Ancheta ,Lakas-CMD ,1,2001
,3rd,  ,Juan Miguel F. Zubiri ,Lakas-CMD ,2,1998
