Province/City ,District ,Representative ,,Party ,Term ,First Elected ,Bloc ,
Abra ,Lone , ,"Luis P. Bersamin, Jr.[n 1]",KAMPI ,2,2001,Majority ,
Agusan del Norte ,1st, ,Leovigildo B. Banaag ,Lakas-CMD ,3,1998,Majority ,
,2nd, ,Ma. Angelica Rosedell M. Amante ,Lakas-CMD ,1,2004,Majority ,
Agusan del Sur ,Lone , ,Rodolfo G. Plaza ,NPC ,2,2001,Minority ,
Aklan ,Lone , ,Florencio T. Miraflores ,Liberal ,1,2004,Majority ,
Albay ,1st, ,Edcel C. Lagman ,Lakas-CMD ,1,2004,Majority ,
,2nd, ,Carlos R. Imperial ,NPC/Lakas-CMD ,2,2001,Majority ,
,3rd, ,Joey S. Salceda[n 2],Lakas-CMD/KAMPI ,3,1998,Majority ,
Antipolo City ,1st, ,"Ronaldo Puno, Jr.[n 3]",KAMPI ,1,2004,Majority ,
,2nd, ,Victor R. Sumulong ,KAMPI ,3,1998,Majority ,
Antique ,Lone , ,Exequiel B. Javier ,Lakas-CMD ,2,2001,Majority ,
Apayao ,Lone , ,"Elias C. Bulut, Jr. ",NPC ,3,1998,Majority ,
Aurora ,Lone , ,Juan Edgardo M. Angara ,LDP ,1,2004,Minority ,
Bacolod City ,Lone , ,Monico O. Puentevella ,Lakas-CMD ,2,2001,Majority ,
Baguio City ,Lone , ,Mauricio G. Domogan ,Lakas-CMD ,2,2001,Majority ,
Basilan ,Lone , ,Gerry A. Salapuddin ,Lakas-CMD ,3,1998,Majority ,
Bataan ,1st, ,Antonino P. Roman ,Liberal ,3,1998,Majority ,
,2nd, ,Albert S. Garcia ,Lakas-CMD/KAMPI ,1,2004,Majority ,
Batanes ,Lone , ,Henedina R. Abad ,Liberal ,1,2004,Majority ,
Batangas ,1st, ,Eileen Ermita-Buhain ,Lakas-CMD ,2,2001,Majority ,
,2nd, ,Hermilando I. Mandanas ,Liberal ,1,2004,Majority ,
,3rd, ,Victoria H. Reyes ,Lakas-CMD ,2,2001,Majority ,
,4th, ,Oscar L. Gozos ,KAMPI ,2,2001,Majority ,
Benguet ,Lone , ,Samuel M. Dangwa ,Lakas-CMD ,2,2001,Majority ,
Biliran ,Lone , ,"Gerardo J. Espina, Jr. ",KAMPI ,1,2004,Majority ,
Bohol ,1st, ,Edgar M. Chatto ,Lakas-CMD ,2,2001,Majority ,
,2nd, ,Roberto C. Cajes ,Lakas-CMD ,2,2001,Majority ,
,3rd, ,Eladio M. Jala ,Lakas-CMD ,3,1998,Majority ,
Bukidnon ,1st, ,J.R. Nereus O. Acosta ,Liberal ,3,1998,Majority ,
,2nd, ,Teofisto TG L. Guingona III ,Nacionalista ,1,2004,Minority ,
,3rd, ,Juan Miguel F. Zubiri ,Lakas-CMD ,3,1998,Majority ,
Bulacan ,1st,  ,Wilhelmino M. Sy-Alvarado ,Lakas-CMD ,3,1998,Majority ,
,2nd,  ,Pedro M. Pancho ,NPC ,1,2004,Majority ,
,3rd,  ,Lorna C. Silverio ,Lakas-CMD ,2,2001,Majority ,
,4th,  ,Reylina G. Nicolas ,Lakas-CMD ,2,2001,Majority ,
Cagayan ,1st,  ,"Juan C. Ponce Enrile, Jr. ",NPC ,3,1998,Minority ,
,2nd,  ,Florencio L. Vargas ,Liberal ,1,2004,Majority ,
,3rd,  ,Manuel N. Mamba ,Liberal ,2,2001,Majority ,
Cagayan de Oro City ,Lone ,  ,Constantino G. Jaraula ,Lakas-CMD ,3,1998,Majority ,
Caloocan City ,1st,  ,Oscar G. Malapitan ,Nacionalista ,1,2004,Minority ,
,2nd,  ,Luis A. Asistio ,NPC ,1,2004,Minority ,
Camarines Norte ,Lone ,  ,"Renato J. Unico, Jr. ",Lakas-CMD/KAMPI ,2,2001,Majority ,
Camarines Sur ,1st,  ,Ronaldo G. Andaya[n 4],Liberal ,3,1998,Majority ,
,2nd,  ,Luis R. Villafuerte ,KAMPI ,1,2004,Majority ,
