"District Representatives ","","","","",""
"Province/City ","District ","Representative ","","Party ","Term "
"Abra ","Lone "," ","Cecilia S. Seares-Luna ","Lakas-Kampi-CMD ","1 "
"Agusan del Norte ","1st "," ","Jose S. Aquino II ","Lakas-Kampi-CMD ","1 "
"","2nd "," ","Edelmiro A. Amante ","Lakas-Kampi-CMD ","1 "
"Agusan del Sur ","Lone "," ","Rodolfo G. Plaza ","NPC ","3 "
"Aklan ","Lone "," ","Florencio T. Miraflores ","Lakas-Kampi-CMD ","2 "
"Albay ","1st "," ","Edcel C. Lagman ","Lakas-Kampi-CMD ","2 "
"","2nd "," ","Al Francis C. Bichara ","Nacionalista ","1 "
"","3rd "," ","Reno G. Lim ","NPC ","1 "
"Antipolo City ","1st "," ","Roberto V. Puno ","Lakas-Kampi-CMD ","1 "
"","2nd "," ","Angelito C. Gatlabayan ","Lakas-Kampi-CMD ","1 "
"Antique ","Lone "," ","Exequiel B. Javier ","Lakas-Kampi-CMD ","3 "
"Apayao ","Lone "," ","Elias C. Bulut, Jr. ","NPC ","3 "
"Aurora ","Lone "," ","Juan Edgardo M. Angara ","LDP ","2 "
"Bacolod City ","Lone "," ","Monico O. Puentevella ","Lakas-Kampi-CMD ","3 "
"Baguio City ","Lone "," ","Mauricio G. Domogan ","Lakas-Kampi-CMD ","3 "
"Basilan ","Lone ","  ","Vacant[17] "," "," "
"Bataan ","1st "," ","Herminia B. Roman ","Lakas-Kampi-CMD ","1 "
"","2nd "," ","Albert S. Garcia ","Lakas-Kampi-CMD ","2 "
"Batanes ","Lone "," ","Carlo Oliver D. Diasnes ","Lakas-Kampi-CMD ","1 "
"Batangas ","1st "," ","Eileen Ermita-Buhain ","Lakas-Kampi-CMD ","3 "
"","2nd "," ","Hermilando I. Mandanas ","Liberal ","2 "
"","3rd "," ","Victoria H. Reyes ","Lakas-Kampi-CMD ","3 "
"","4th "," ","Mark L. Mendoza ","NPC ","1 "
"Benguet ","Lone "," ","Samuel M. Dangwa ","Lakas-Kampi-CMD ","3 "
"Biliran ","Lone "," ","Glenn A. Chong ","Lakas-Kampi-CMD ","1 "
"Bohol ","1st "," ","Edgardo M. Chatto ","Lakas-Kampi-CMD ","3 "
"","2nd "," ","Roberto C. Cajes ","Lakas-Kampi-CMD ","3 "
"","3rd "," ","Adam Relson L. Jala ","Lakas-Kampi-CMD ","1 "
"Bukidnon ","1st "," ","Candido P. Pancrudo, Jr. ","Lakas-Kampi-CMD ","1 "
"","2nd "," ","Teofisto L. Guingona III ","Liberal ","2 "
"","3rd "," ","Jose Ma. F. Zubiri III ","Lakas-Kampi-CMD ","1 "
"Bulacan ","1st "," ","Ma. Victoria Sy-Alvarado ","Lakas-Kampi-CMD ","1 "
"","2nd "," ","Pedro M. Pancho ","Lakas-Kampi-CMD ","2 "
"","3rd "," ","Lorna C. Silverio ","Lakas-Kampi-CMD ","3 "
"","4th "," ","Reylina G. Nicolas ","Lakas-Kampi-CMD ","3 "
"Cagayan ","1st "," ","Sally S. Ponce Enrile ","NPC ","1 "
"","2nd "," ","Florencio L. Vargas ","Lakas-Kampi-CMD ","2 "
"","3rd "," ","Manuel N. Mamba ","Liberal ","3 "
"Cagayan de Oro City ","1st "," ","Rolando A. Uy ","Nacionalista ","1 "
"","2nd "," ","Rufus B. Rodriguez ","PMP ","1 "
"Caloocan City ","1st "," ","Oscar G. Malapitan ","Nacionalista ","2 "
"","2nd "," ","Mary Mitzi L. Cajayon ","Lakas-Kampi-CMD ","1 "
"Camarines Norte ","Lone "," ","Liwayway Vinzons-Chato ","Liberal ","1 "
