Province/City ,District ,Representative ,,Party ,Term ,Bloc 
Abra ,Lone , ,Jocelyn Bernos ,Liberal ,2,Majority 
Agusan del Norte ,1st, ,Lawrence Fortun ,Liberal ,1,Majority 
,2nd, ,Erlpe John Amante ,Kusug Agusanon ,1,Majority 
Agusan del Sur ,1st, ,Maria Valentina Plaza ,NUP ,2,Majority 
,2nd, ,Bebs Mellana ,NUP ,2,Majority 
Aklan ,Lone , ,Ted Haresco Jr. ,Independent ,2,Majority 
Albay ,1st, ,Edcel Lagman Jr. ,Liberal ,1,Majority 
,2nd, ,Al Francis Bichara ,Nacionalista ,3,Majority 
,3rd, ,Fernando V. Gonzalez ,Liberal ,2,Majority 
Antipolo ,1st, ,Roberto Puno ,NUP ,3,Majority 
,2nd, ,Romeo Acop ,Liberal ,2,Majority 
Antique ,Lone , ,Paolo Javier ,Liberal ,2,Majority 
Apayao ,Lone , ,Eleanor Bulut-Begtang ,NPC ,2,Majority 
Aurora ,Lone , ,Bella Angara ,LDP ,1,Minority 
Bacolod ,Lone , ,Evelio Bing Leonardia ,NPC ,1,Majority 
Baguio ,Lone , ,Nicasio Aliping Jr. ,Independent ,1,Majority 
Basilan ,Lone , ,Jim Hataman Salliman ,Liberal ,2,Majority 
Bataan ,1st, ,Herminia Roman ,Liberal ,3,Majority 
,2nd, ,Enrique T. Garcia Jr.1,NUP ,1,Majority 
Batanes ,Lone , ,Henedina Abad ,Liberal ,2,Majority 
Batangas ,1st, ,Eileen Ermita-Buhain ,Lakas ,1,Majority 
,2nd, ,Raneo Abu ,Nacionalista ,1,Majority 
,3rd, ,Nelson Collantes ,Liberal ,2,Majority 
,4th, ,Mark Llandro Mendoza ,NPC ,3,Majority 
Benguet ,Lone , ,Ronald Cosalan ,Liberal ,2,Majority 
Biliran ,Lone , ,Rogelio Espina ,Liberal ,2,Majority 
Bohol ,1st, ,Rene Relampagos ,Liberal ,2,Majority 
,2nd, ,Erico Aristotle Aumentado ,NPC ,1,Majority 
,3rd, ,Arthur Yap ,NPC ,2,Majority 
Bukidnon ,1st, ,Malou Acosta-Alba ,Liberal ,1,Majority 
,2nd, ,Florencio Flores ,Nacionalista ,2,Minority 
,3rd, ,Jose Zubiri III ,Liberal/BPP ,3,Majority 
,4th, ,Oneil Roque ,NPC ,1,Majority 
Bulacan ,1st, ,Ma. Victoria Sy-Alvarado ,NUP ,3,Majority 
,2nd, ,Apol Pancho ,NUP ,1,Independent minority 
,3rd, ,Jonjon Mendoza ,Liberal ,2,Majority 
,4th, ,Linabelle Ruth Villarica ,Liberal ,2,Majority 
Cagayan ,1st, ,Sally Ponce Enrile ,NPC ,1,Majority 
,2nd, ,Aline Vargas-Alfonso ,NUP ,1,Majority 
,3rd, ,Randolph Ting ,NUP ,2,Majority 
Cagayan de Oro ,1st, ,Rolando Uy ,Liberal ,1,Majority 
,2nd, ,Rufus Rodriguez ,CDP ,3,Majority 
Caloocan ,1st, ,Enrico Echiverri ,NPC ,1,Majority 
,2nd, ,Edgar Erice ,Liberal ,1,Majority 
Camarines Norte ,1st, ,Cathy Barcelona-Reyes ,NUP ,1,Majority 
,2nd, ,Elmer Panotes2,Lakas ,2,Majority 
Camarines Sur ,1st, ,Rolando Andaya Jr. ,Lakas ,2,Majority 
,2nd, ,Dato Arroyo ,Lakas ,3,Independent minority 
,3rd, ,Leni Robredo ,Liberal ,1,Majority 
,4th, ,Felix William Fuentebella ,NPC ,1,Majority 
,5th, ,Salvio Fortuno ,Liberal ,2,Majority 
Camiguin ,Lone , ,Xavier Jesus Romualdo ,NPC ,1,Majority 
Capiz ,1st, ,Antonio Del Rosario ,Liberal ,3,Majority 
,2nd, ,Fredenil Castro ,NUP ,1,Majority 
Catanduanes ,Lone , ,Cesar Sarmiento ,Liberal ,2,Majority 
Cavite ,1st, ,Francis Abaya ,Liberal ,1,Majority 
,2nd, ,Lani Mercado ,Lakas ,2,Independent minority 
,3rd, ,Alex Advincula ,Liberal ,1,Majority 
,4th, ,Elpidio Barzaga Jr. ,NUP ,3,Majority 
,5th, ,Roy Loyola ,Liberal ,2,Majority 
,6th, ,Luis Ferrer IV ,NUP/Magdalo ,1,Independent minority 
,7th, ,Abraham Tolentino ,Liberal ,1,Majority 
Cebu ,1st, ,Gerald Anthony Gullas Jr. ,Nacionalista ,1,Majority 
,2nd, ,Wilfredo Caminero ,Liberal ,1,Majority 
,3rd, ,Gwendolyn Garcia ,UNA/1-Cebu,1,Majority 
,4th, ,Benhur Salimbangon ,NUP/1-Cebu,2,Majority 
,5th, ,Joseph Ace Durano ,Liberal ,1,Majority 
,6th, ,Gabriel Luis Quisumbing ,Liberal ,2,Majority 
Cebu City ,1st, ,Raul del Mar ,Liberal/BOPK ,1,Majority 
,2nd, ,Bebot Abellanosa ,Liberal/BOPK ,1,Majority 
Compostela Valley ,1st, ,Maria Carmen Zamora ,Liberal ,2,Majority 
,2nd, ,Rommel Amatong ,Aksyon Demokratiko ,3,Majority 
Cotabato (North) ,1st, ,Jesus Sacdalan ,Liberal ,2,Majority 
,2nd, ,Nancy Catamco ,Liberal ,2,Majority 
,3rd, ,Ping-Ping Tejada ,Nacionalista ,1,Minority 
Davao City ,1st, ,Karlo Nograles ,NUP ,2,Majority 
,2nd, ,Mylene Garcia-Albano ,Liberal ,2,Majority 
,3rd, ,Isidro Ungab ,Liberal ,3,Majority 
Davao (Davao del Norte) ,1st, ,Anthony del Rosario ,Liberal ,2,Majority 
,2nd, ,Antonio Lagdameo Jr ,NUP ,3,Majority 
Davao del Sur ,1st, ,Mercedes Cagas ,Nacionalista ,1,Majority 
,2nd, ,Franklin Bautista ,Liberal ,3,Majority 
Davao Oriental ,1st, ,Nelson Dayanghirang ,Nacionalista ,3,Majority 
,2nd, ,Thelma Almario ,Lakas ,3,Majority 
Dinagat Islands ,Lone , ,Kaka Bag-ao ,Liberal ,2,Majority 
Eastern Samar ,Lone , ,Ben Evardone ,Liberal ,2,Majority 
Guimaras ,Lone , ,Joaquin Carlos Rahman Nava ,Liberal ,3,Majority 
Ifugao ,Lone , ,Teodoro Baguilat ,Liberal ,2,Majority 
Iligan ,Lone , ,Vicente Belmonte Jr. ,Liberal ,3,Majority 
Ilocos Norte ,1st, ,Rodolfo Fariñas ,Nacionalista ,2,Majority 
,2nd, ,Imelda Marcos ,KBL ,2,Independent minority 
Ilocos Sur ,1st, ,Ronald Singson ,Nacionalista ,3,Majority 
,2nd, ,Eric Singson ,Liberal ,1,Majority 
Iloilo ,1st, ,Oscar Garin Jr. ,Liberal ,1,Majority 
,2nd, ,Arcadio Gorriceta ,Liberal ,1,Majority 
,3rd, ,Arthur Defensor Jr. ,Liberal ,2,Majority 
,4th, ,Hernan Biron Jr. ,UNA ,1,Majority 
,5th, ,Niel Tupas Jr. ,Liberal ,3,Majority 
Iloilo City ,Lone , ,Jerry Treñas ,Liberal ,2,Majority 
Isabela ,1st, ,Rodolfo Albano III ,NPC ,1,Minority 
,2nd, ,Ana Cristina Go ,Nacionalista ,2,Minority 
,3rd, ,Napoleon Dy ,NPC ,2,Majority 
,4th, ,Giorgidi Aggabao ,NPC ,3,Majority 
Kalinga ,Lone , ,Manuel Agyao ,Liberal ,3,Majority 
La Union ,1st, ,Victor Francisco Ortega ,Lakas ,3,Independent minority 
,2nd, ,Eufranio Eriguel ,NPC ,2,Majority 
Laguna ,1st, ,Danilo Fernandez ,Liberal ,3,Majority 
,2nd, ,Jun Chipeco Jr. ,Liberal ,1,Majority 
,3rd, ,Sol Aragones ,UNA ,1,Majority 
,4th, ,Benjie Agarao ,Liberal ,1,Majority 
