"Province/City ","District ","Representative ","","Party ","Term ","Bloc "
"Abra ","Lone "," ","Joseph Sto. Niño Bernos[10] ","PDP-Laban ","1 ","Majority "
"Agusan del Norte ","1st "," ","Lawrence Lemuel Fortun ","Nacionalista ","2 ","Majority "
"","2nd "," ","Erlpe John Amante ","Nacionalista ","2 ","Majority "
"Agusan del Sur ","1st "," ","Maria Valentina Plaza ","PDP-Laban ","3 ","Majority "
"","2nd "," ","Evelyn Plaza-Mellana ","PDP-Laban ","3 ","Majority "
"Aklan ","Lone "," ","Carlito Marquez ","NPC ","1 ","Majority "
"Albay ","1st "," ","Edcel Lagman ","Liberal ","1 ","Independent minority "
"","2nd "," ","Joey Salceda ","PDP-Laban ","1 ","Majority "
"","3rd "," ","Fernando Gonzalez ","PDP-Laban ","3 ","Majority "
"Antipolo ","1st "," ","Cristina Roa-Puno ","NUP ","1 ","Majority "
"","2nd "," ","Romeo Acop ","NUP ","3 ","Majority "
"Antique ","Lone "," ","Paolo Everardo Javier ","PDP-Laban ","3 ","Majority "
"Apayao ","Lone "," ","Eleanor Bulut-Begtang ","PDP-Laban ","3 ","Majority "
"Aurora ","Lone "," ","Bellaflor Angara-Castillo ","LDP ","2 ","Majority "
"Bacolod ","Lone "," ","Greg Gasataya ","NPC ","1 ","Majority "
"Baguio ","Lone "," ","Mark Go ","Nacionalista ","1 ","Majority "
"Basilan ","Lone "," ","Jum Akbar3 ","Liberal ","1 ","Majority "
"Bataan ","1st "," ","Geraldine Roman[11] ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Jose Enrique Garcia III ","PDP-Laban ","1 ","Majority "
"Batanes ","Lone "," ","Henedina Abad5 ","Liberal ","3 ","Majority "
"Batangas ","1st "," ","Eileen Ermita-Buhain ","Nacionalista ","2 ","Majority "
"","2nd "," ","Raneo Abu ","Nacionalista ","2 ","Majority "
"","3rd "," ","Maria Theresa Collantes ","PDP-Laban ","1 ","Majority "
"","4th "," ","Lianda Bolilia ","Nacionalista ","1 ","Majority "
"","5th "," ","Mario Vittorio Mariño ","Nacionalista ","1 ","Majority "
"","6th "," ","Vilma Santos-Recto ","Nacionalista ","1 ","Majority "
"Benguet ","Lone "," ","Ronald Cosalan ","PDP-Laban ","3 ","Majority "
"Biliran ","Lone "," ","Rogelio Espina ","Nacionalista ","3 ","Majority "
"Biñan ","Lone "," ","Marlyn Alonte-Naguiat ","PDP-Laban ","1 ","Majority "
"Bohol ","1st "," ","Rene Relampagos ","NUP ","3 ","Majority "
"","2nd "," ","Erico Aristotle Aumentado ","NPC ","2 ","Majority "
"","3rd "," ","Arthur Yap ","PDP-Laban ","3 ","Majority "
"Bukidnon ","1st ","  ","Maria Lourdes Acosta-Alba ","Bukidnon Paglaum ","2 ","Majority "
"","2nd "," ","Florencio Flores Jr. ","Nacionalista ","3 ","Majority "
"","3rd ","  ","Manuel Zubiri ","Bukidnon Paglaum ","1 ","Majority "
"","4th "," ","Rogelio Neil Roque ","Nacionalista ","2 ","Majority "
"Bulacan ","1st "," ","Jose Antonio Sy-Alvarado ","NUP ","1 ","Majority "
"","2nd "," ","Gavini Pancho ","NUP ","2 ","Majority "
"","3rd "," ","Lorna Silverio ","NUP ","1 ","Majority "
"","4th "," ","Linabelle Ruth Villarica ","PDP-Laban ","3 ","Majority "
"Cagayan ","1st "," ","Ramon Nolasco ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Baby Aline Vargas-Alfonso ","NUP ","2 ","Majority "
"","3rd "," ","Randolph Ting ","NUP ","3 ","Majority "
"Cagayan de Oro ","1st "," ","Rolando Uy ","PDP-Laban ","2 ","Majority "
"","2nd "," ","Maximo Rodriguez Jr. ","PDP-Laban ","1 ","Majority "
"Caloocan ","1st "," ","Dale Malapitan[12] ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Edgar Erice ","Liberal ","2 ","Independent minority "
"Camarines Norte ","1st "," ","Renato Unico Jr. ","NUP ","1 ","Majority "
"","2nd "," ","Marisol Panotes ","PDP-Laban ","1 ","Majority "
"Camarines Sur ","1st "," ","Rolando Andaya Jr. ","NPC ","3 ","Majority "
"","2nd "," ","Luis Raymund Villafuerte ","Nacionalista ","1 ","Majority "
"","3rd "," ","Gabriel Bordado Jr. ","Liberal ","1 ","Independent minority "
"","4th "," ","Arnulfo Fuentebella ","NPC ","1 ","Majority "
"","5th "," ","Salvio Fortuno ","Nacionalista ","3 ","Majority "
"Camiguin ","Lone "," ","Xavier Jesus Romualdo[11] ","PDP-Laban ","2 ","Majority "
"Capiz ","1st "," ","Emmanuel Billones ","Liberal ","1 ","Independent minority "
"","2nd "," ","Fredenil Castro ","NUP ","2 ","Majority "
"Catanduanes ","Lone "," ","Cesar Sarmiento[13] ","PDP-Laban ","3 ","Majority "
"Cavite ","1st "," ","Francis Gerald Abaya ","Liberal ","2 ","Independent minority "
"","2nd "," ","Strike Revilla ","NUP ","1 ","Majority "
"","3rd "," ","Alex Advincula ","PDP-Laban ","2 ","Majority "
"","4th "," ","Jennifer Barzaga ","NUP ","1 ","Majority "
"","5th "," ","Roy Loyola ","NPC ","3 ","Majority "
"","6th "," ","Luis Ferrer IV ","NUP ","2 ","Majority "
"","7th "," ","Abraham Tolentino[12] ","PDP-Laban ","2 ","Majority "
"Cebu ","1st "," ","Gerald Anthony Gullas Jr. ","Independent ","2 ","Minority "
"","2nd "," ","Wilfredo Caminero ","NUP ","2 ","Majority "
"","3rd "," ","Gwendolyn Garcia ","PDP-Laban/1-Cebu ","2 ","Majority "
"","4th "," ","Benhur Salimbangon ","NUP/1-Cebu ","3 ","Majority "
"","5th "," ","Ramon Durano VI ","NPC ","1 ","Majority "
"","6th "," ","Jonas Cortes ","PDP-Laban[14] ","1 ","Majority "
"","7th "," ","Peter John Calderon ","NPC ","1 ","Majority "
"Cebu City ","1st "," ","Raul del Mar ","Liberal ","2 ","Majority "
"","2nd "," ","Rodrigo Abellanosa ","LDP ","2 ","Majority "
"Compostela Valley ","1st "," ","Maria Carmen Zamora ","HNP ","3 ","Majority "
"","2nd "," ","Ruwel Peter Gonzaga ","PDP-Laban ","1 ","Majority "
"Cotabato ","1st "," ","Jesus Sacdalan[13] ","PDP-Laban ","3 ","Majority "
"","2nd "," ","Nancy Catamco[11] ","PDP-Laban ","3 ","Majority "
"","3rd "," ","Jose Tejada ","Nacionalista ","2 ","Majority "
"Davao City ","1st "," ","Karlo Nograles6 ","PDP-Laban ","3 ","Majority "
"","2nd "," ","Mylene Garcia-Albano[12] ","PDP-Laban ","3 ","Majority "
"","3rd "," ","Alberto Ungab ","HNP ","1 ","Majority "
"Davao del Norte ","1st "," ","Pantaleon Alvarez ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Antonio Floirendo Jr. ","HNP ","1 ","Majority "
"Davao del Sur ","Lone "," ","Mercedes Cagas ","Nacionalista ","2 ","Majority "
"Davao Occidental ","Lone "," ","Lorna Bautista-Bandigan ","NPC ","1 ","Majority "
"Davao Oriental ","1st "," ","Corazon Nuñez-Malanyaon ","Nacionalista ","1 ","Majority "
"","2nd "," ","Joel Mayo Almario[12] ","PDP-Laban ","1 ","Majority "
"Dinagat Islands ","Lone "," ","Kaka Bag-ao ","Liberal ","2 ","Independent minority "
"Eastern Samar ","Lone "," ","Ben Evardone ","PDP-Laban ","3 ","Majority "
"Guimaras ","Lone "," ","Maria Lucille Nava[13] ","PDP-Laban ","1 ","Majority "
"Ifugao ","Lone "," ","Teodoro Baguilat Jr. ","Liberal ","3 ","Independent minority "
"Iligan ","Lone "," ","Frederick Siao ","Nacionalista ","1 ","Majority "
"Ilocos Norte ","1st "," ","Rodolfo Fariñas ","PDP-Laban ","3 ","Majority "
"","2nd "," ","Imelda Marcos ","Nacionalista ","3 ","Majority "
"Ilocos Sur ","1st "," ","Deogracias Victor Savellano ","Nacionalista ","1 ","Majority "
"","2nd ","  ","Eric Singson ","Bileg Ti Ilokano ","2 ","Majority "
"Iloilo ","1st "," ","Oscar Garin Jr. ","Nacionalista ","2 ","Majority "
"","2nd "," ","Arcadio Gorriceta ","Liberal ","2 ","Majority "
"","3rd "," ","Arthur Defensor Jr. ","PDP-Laban ","3 ","Majority "
