,Province,Name,Years,Count
0,ABRA,Zapata,"[9, 10]",2
1,AGUSAN DEL NORTE,Amante,"[8, 9, 12, 13, 14, 15, 16, 17, 18]",9
2,AKLAN,Quimpo,"[9, 10, 11]",3
3,ALBAY,Lagman,"[8, 9, 10, 13, 14, 15, 16, 17, 18]",9
4,ANTIQUE,Javier,"[8, 9, 10, 12, 13, 14, 15, 16, 17]",9
5,AURORA,Angara,"[13, 14, 15, 16, 18]",5
6,BACOLOD CITY,Guanzon,"[8, 9, 10]",3
7,BASILAN,Salapuddin,"[11, 12, 13]",3
8,BATAAN,Garcia,"[8, 10, 11, 12, 13, 14, 15, 17, 18]",9
9,BATANES,Abad,"[8, 10, 11, 12, 13, 15, 16, 17]",8
10,BATANGAS,Ermita-Buhain,"[12, 13, 14, 16, 17, 18]",6
11,BENGUET,Dangwa,"[8, 9, 12, 13, 14]",5
12,BOHOL,Aumentado,"[9, 10, 11, 16, 17, 18]",6
13,BUKIDNON,Zubiri,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
14,BULACAN,Pancho,"[9, 10, 11, 13, 14, 15, 16, 17, 18]",9
15,CAGAYAN,Enrile,"[9, 11, 12, 13, 14, 15, 16]",7
16,CAGAYAN DE ORO CITY,Jaraula,"[11, 12, 13]",3
17,CALOOCAN CITY,Asistio,"[9, 10, 11, 13]",4
18,CAMARINES NORTE,Unico,"[8, 12, 13, 15, 17]",5
19,CAMARINES SUR,Fuentebella,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10
20,CAMIGUIN,Romualdo,"[8, 9, 10, 11, 12, 13, 14, 16, 17, 18]",10
21,CAPIZ,Castro,"[12, 13, 14, 15, 16, 17, 18]",7
22,CATANDUANES,Verceles,"[9, 10, 11]",3
23,CAVITE,Abaya,"[10, 11, 12, 13, 14, 16, 17, 18]",8
24,CEBU,Gullas,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10
25,CEBU CITY,Mar,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
26,COTABATO (NORTH),Andolana,"[8, 9, 10]",3
27,DAVAO CITY,Nograles,"[8, 10, 12, 13, 14, 15, 16, 17]",8
28,DAVAO DEL NORTE,Rosario,"[8, 9, 10, 15]",4
29,DAVAO DEL SUR,Bautista,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",9
30,DAVAO ORIENTAL,Almario,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
31,EASTERN SAMAR,Ramirez,"[8, 9, 10]",3
32,IFUGAO,Chungalao,"[12, 13, 14, 18]",4
33,ILOCOS NORTE,Marcos,"[9, 11, 12, 13, 14, 15, 16, 17]",8
34,ILOCOS SUR,Singson,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
35,ILOILO,Garin,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
36,ILOILO CITY,Gonzalez,"[12, 13, 14]",3
37,ISABELA,Albano,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 18]",10
38,KALINGA-APAYAO,Bulut,"[9, 10]",2
39,LA UNION,Ortega,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
40,LAGUNA,Chipeco,"[8, 10, 11, 12, 13, 14, 15, 16, 17]",9
41,LANAO DEL NORTE,Dimaporo,"[8, 12, 13, 14, 15, 16, 17, 18]",8
42,LANAO DEL SUR,Adiong,"[9, 10, 11, 16, 17, 18]",6
43,LAS PIÑAS-MUNTINLUPA,Villar,"[9, 10]",2
44,LEYTE,Veloso,"[8, 9, 10, 11, 12, 13, 17, 18]",8
45,MAGUINDANAO,Datumanong,"[9, 10, 11, 13, 14, 15]",6
46,MAKATI,Lagdameo,"[15, 16]",2
47,MALABON-NAVOTAS,Aquino-Oreta,"[8, 9]",2
48,MANILA,Lopez,"[8, 9, 10, 12, 13, 14, 15, 16, 17, 18]",10
49,MARINDUQUE,Reyes,"[8, 9, 10, 11, 12, 13, 14, 16]",8
50,MASBATE,Espinosa,"[8, 9, 10, 11, 12, 13]",6
51,MISAMIS OCCIDENTAL,Ramiro,"[8, 9, 10, 11, 12, 13, 14]",7
52,MOUNTAIN PROVINCE,Dominguez,"[8, 9, 10, 11, 13]",5
53,NEGROS OCCIDENTAL,Alvarez,"[10, 11, 12, 13, 14, 15, 16, 17, 18]",9
54,NEGROS ORIENTAL,Teves,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
55,NORTHERN SAMAR,Daza,"[8, 9, 10, 14, 15, 16, 17, 18]",8
56,NUEVA ECIJA,Violago,"[9, 10, 12, 13, 14, 15, 16, 17, 18]",9
57,NUEVA VIZCAYA,Padilla,"[8, 10, 11, 12, 14, 15, 16]",7
58,OCCIDENTAL MINDORO,Villarosa,"[9, 10, 13, 14, 15]",5
59,ORIENTAL MINDORO,Umali,"[12, 13, 14, 15, 16, 17, 18]",7
60,PALAWAN,Abueg,"[9, 10, 11, 16, 17, 18]",6
61,PAMPANGA,Bondoc,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
62,PANGASINAN,Venecia,"[8, 9, 10, 12, 13, 14, 15, 16, 17, 18]",10
63,PASAY CITY,Dy,"[12, 13]",2
64,PASIG,Javier,"[8, 9, 10]",3
65,PATEROS-TAGUIG,Tinga,"[8, 9]",2
66,QUEZON,Suarez,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10
67,QUEZON CITY,Belmonte,"[9, 10, 11, 15, 16, 17, 18]",7
68,QUIRINO,Cua,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
69,RIZAL,Duavit,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10
70,ROMBLON,Madrona,"[9, 10, 11, 14, 15, 16, 17, 18]",8
71,SAMAR (WESTERN),Tuazon,"[9, 10, 11]",3
72,SAN JUAN-MANDALUYONG,Zamora,"[8, 9]",2
73,SIQUIJOR,Fua,"[8, 9, 10, 11, 12, 13, 14, 15]",8
74,SORSOGON,Escudero,"[8, 9, 10, 11, 12, 13, 14, 16, 17, 18]",10
75,SOUTH COTABATO,Antonino,"[8, 9, 10, 11]",4
76,SOUTHERN LEYTE,Mercado,"[8, 9, 10, 11, 13, 14, 15, 16, 17]",9
77,SULTAN KUDARAT,Montilla,"[10, 11, 12]",3
78,SURIGAO DEL NORTE,Barbers,"[9, 10, 11, 12, 13, 17, 18]",7
79,SURIGAO DEL SUR,Pichay,"[11, 12, 13, 14, 15, 16, 17, 18]",8
80,TARLAC,Cojuangco,"[8, 9, 10, 15, 16, 17, 18]",7
81,TAWI-TAWI,Jaafar,"[9, 10, 11, 12, 14, 15]",6
82,VALENZUELA,Gatchalian,"[15, 16, 17, 18]",4
83,ZAMBALES,Diaz,"[9, 10, 11, 13, 14, 15]",6
84,ZAMBOANGA DEL NORTE,Jalosjos,"[10, 11, 12, 13, 14, 15, 16, 17, 18]",9
85,ZAMBOANGA DEL SUR,Cerilles,"[8, 9, 10, 11, 13, 14, 15, 16]",8
86,AGUSAN DEL SUR,Plaza,"[8, 12, 13, 14, 15, 16, 17, 18]",8
87,MARIKINA,Quimbo,"[15, 16, 17, 18]",4
88,SULU,Arbison,"[12, 13, 14, 16, 17, 18]",6
89,BAGUIO CITY,Domogan,"[12, 13, 14]",3
90,BILIRAN,Espina,"[10, 11, 12, 13, 15, 16, 17, 18]",8
91,GUIMARAS,Nava,"[10, 14, 15, 16, 17, 18]",6
92,MALABON–NAVOTAS,Aquino-Oreta,[10],1
93,MANDALUYONG,Gonzales,"[10, 11, 15, 16, 17, 18]",6
94,PATEROS–TAGUIG,Tinga,[10],1
95,SAN JUAN,Zamora,"[10, 12, 13, 16, 17, 18]",6
96,SARANGANI,Pacquiao,"[15, 16, 17, 18]",4
97,ANTIPOLO CITY,Sumulong,"[11, 12, 13]",3
98,APAYAO,Bulut,"[11, 13, 14, 18]",4
99,COMPOSTELA VALLEY,Zamora,"[12, 13, 14, 15, 16, 17, 18]",7
100,KALINGA,Wacnang,"[11, 12, 13]",3
101,LAS PIÑAS CITY,Villar,"[11, 12, 13, 14]",4
102,,Aquino,[11],1
103,MISAMIS ORIENTAL,Unabia,"[15, 16, 17, 18]",4
104,MUNTINLUPA CITY,Biazon,"[12, 13, 14]",3
105,ZAMBOANGA CITY,Lobregat,"[8, 9, 10, 11, 12, 16, 17]",7
106,MAKATI CITY,Locsin,"[12, 13, 14]",3
107,MALABON CITY-NAVOTAS,Sandoval,[12],1
108,MANDALUYONG CITY,Gonzales,"[12, 14]",2
109,MARIKINA CITY,Guzman,"[12, 13, 14]",3
110,PARAÑAQUE CITY,Zialcita,"[12, 13, 14]",3
111,PASIG CITY,Cariño,[12],1
112,TAGUIG CITY-PATEROS,Cayetano,[12],1
113,VALENZUELA CITY,Gatchalian,"[12, 14]",2
114,ZAMBOANGA SIBUGAY,Cabilao,"[12, 13, 14, 16]",4
115,MALABON CITY–NAVOTAS,Sandoval,[13],1
116,SAN JOSE DEL MONTE CITY,Roquero,[13],1
117,TAGUIG CITY–PATEROS,Cayetano,"[13, 14]",2
118,DINAGAT ISLANDS,Ecleo,"[14, 18]",2
119,MALABON CITY–NAVOTAS CITY,,[14],1
120,NORTH COTABATO,Taliño-Mendoza,[14],1
121,SAMAR,Tan,"[14, 15, 16, 17, 18]",5
122,SAN JUAN CITY,Zamora,[14],1
123,TAGUIG CITY,Reyes,[14],1
124,ANTIPOLO,Acop,"[15, 16, 17, 18]",4
125,BACOLOD,Gasataya,"[17, 18]",2
126,BAGUIO,Go,"[17, 18]",2
127,CAGAYAN DE ORO,Rodriguez,"[15, 16, 17, 18]",4
128,CALOOCAN,Malapitan,"[15, 17, 18]",3
129,DASMARIÑAS CITY,Barzaga,[15],1
130,DINAGAT ISLANDS6, ,[15],1
131,ILIGAN CITY,Belmonte,[15],1
132,LAPU-LAPU CITY,Radaza,"[15, 16, 17, 18]",4
133,LAS PIÑAS,Villar,"[15, 16, 17, 18]",4
134,MALABON,Lacson-Noel,"[15, 16, 18]",3
135,MUNTINLUPA,Biazon,"[15, 16, 17, 18]",4
136,PARAÑAQUE,Olivarez,"[15, 16, 17, 18]",4
137,PASAY,Calixto-Rubiano,"[15, 17]",2
138,SAN JOSE DEL MONTE,Robes,"[15, 16, 17, 18]",4
139,TAGUIG–PATEROS,Cerafica,"[15, 16, 17]",3
